names,scores,logfoldchanges,pvals,pvals_adj
Pglyrp3,-0.028522888,-2.1854918,0.9772451130131751,0.9999344575108171
Gm17728,-0.028523073,-1.8936096,0.9772449657865835,0.9999344575108171
Fcrla,-0.028523996,-4.381457,0.9772442296536368,0.9999344575108171
Gsta5,-0.02852455,-3.3981133,0.977243787973878,0.9999344575108171
Mpl,-0.028740896,-1.6420902,0.977071238949934,0.9999344575108171
Chit1,-0.02891811,-0.72466344,0.9769299026644589,0.9999344575108171
Gm3466,-0.028923463,-1.1788058,0.9769256331420831,0.9999344575108171
Gm43655,-0.028937677,-1.4162345,0.9769142968272595,0.9999344575108171
Shcbp1l,-0.0290069,0.5617761,0.9768590875685127,0.9999344575108171
Gm4383,-0.029115258,-1.645284,0.9767726668981684,0.9999344575108171
Gm19253,-0.02911655,-1.2909948,0.976771636329637,0.9999344575108171
Gm12452,-0.029117288,-2.3531604,0.9767710474333507,0.9999344575108171
Strc,-0.029117657,-1.8154234,0.9767707529852123,0.9999344575108171
Gm6546,-0.029118028,-1.6170517,0.9767704585370771,0.9999344575108171
ENSMUSG00000091028,-0.02911895,-1.1302191,0.976769722416753,0.9999344575108171
Gm9159,-0.029119873,-2.4140573,0.9767689862964485,0.9999344575108171
Adora3,-0.029121164,-2.277323,0.9767679557280555,0.9999344575108171
Clrn1,-0.029216971,-23.893396,0.9766915465510652,0.9999344575108171
Gm12627,-0.029216971,-21.704765,0.9766915465510652,0.9999344575108171
Gm12616,-0.029216971,-21.704765,0.9766915465510652,0.9999344575108171
Ptgdr,-0.029216971,-22.813248,0.9766915465510652,0.9999344575108171
Mfsd6l,-0.029216971,-25.718979,0.9766915465510652,0.9999344575108171
Gm12615,-0.029216971,-21.704765,0.9766915465510652,0.9999344575108171
Slc18a3,-0.029216971,-24.040644,0.9766915465510652,0.9999344575108171
Gm11693,-0.029567888,-1.8002263,0.976411675848204,0.9999344575108171
Pls1,-0.029608222,-0.92831993,0.9763795078334234,0.9999344575108171
Gm2871,-0.029608777,-1.4306637,0.9763790661675839,0.9999344575108171
Gm8323,-0.029608777,-1.4306637,0.9763790661675839,0.9999344575108171
Gm9431,-0.02971095,-1.8293678,0.976297578944247,0.9999344575108171
Pon1,-0.029712703,-3.399584,0.9762961803400413,0.9999344575108171
Gm11427,-0.029717226,-2.241811,0.9762925734137418,0.9999344575108171
Myo7b,-0.029809617,-1.5771538,0.9762188891684039,0.9999344575108171
Gm21756,-0.0298098,-3.677124,0.9762187419473375,0.9999344575108171
Tssk1,-0.02981091,-2.0579948,0.9762178586209557,0.9999344575108171
Ccdc192,-0.029811278,-3.0891988,0.9762175641788349,0.9999344575108171
Ikzf3,-0.029811462,-4.1676846,0.9762174169577756,0.9999344575108171
Arhgap36,-0.030323071,-1.5854148,0.9758093969226898,0.9999344575108171
Glyat,-0.030397648,-0.45551938,0.9757499205971598,0.9999344575108171
