names,scores,logfoldchanges,pvals,pvals_adj,gene
ENSG00000048462,-0.001015633,0.56564903,0.999189642253556,1.0,TNFRSF17
ENSG00000179546,0.0,0.0,1.0,1.0,HTR1D
ENSG00000180720,0.0,0.0,1.0,1.0,CHRM4
ENSG00000237665,0.0,0.0,1.0,1.0,GRM7-AS2
ENSG00000282608,0.0,0.0,1.0,1.0,ADORA3
ENSG00000135312,0.0,0.0,1.0,1.0,HTR1B
ENSG00000174130,0.0,0.0,1.0,1.0,TLR6
ENSG00000115602,0.0,0.0,1.0,1.0,IL1RL1
ENSG00000164082,0.012253601,0.0674297,0.9902232852667476,1.0,GRM2
ENSG00000113262,0.05007688,0.70269233,0.960061122639284,1.0,GRM6
ENSG00000237775,0.015581556,0.39744398,0.9875682200078124,1.0,DDR1-DT
ENSG00000228013,0.04138545,0.35165113,0.9669886139760586,1.0,IL6R-AS1
ENSG00000189108,0.041581336,-0.09366097,0.966832452959394,1.0,IL1RAPL2
ENSG00000101204,0.042192418,19.99022,0.9663453066838296,1.0,CHRNA4
ENSG00000181631,0.04332303,0.035271455,0.9654440344573788,1.0,P2RY13
ENSG00000259954,0.044445124,0.59546846,0.9645495951197072,1.0,IL21R-AS1
ENSG00000183813,0.044526033,1.6815078,0.9644851021533166,1.0,CCR4
ENSG00000169836,0.044717662,0.27691045,0.96433235658153,1.0,TACR3
ENSG00000157856,0.04690649,0.18682487,0.9625877569562736,1.0,DRC1
ENSG00000260305,0.0477965,1.1623802,0.9618784277020744,1.0,NTRK3-AS1
ENSG00000128271,0.04813291,0.15544991,0.9616103158598178,1.0,ADORA2A
ENSG00000250846,-0.011012272,-0.20212968,0.9912136556057856,1.0,EPHA5-AS1
ENSG00000121797,0.05112658,1.1154464,0.9592246545648055,1.0,CCRL2
ENSG00000168229,0.040580608,-0.028118625,0.9676302452877624,1.0,PTGDR
ENSG00000186297,0.053464454,0.8710801,0.9573618518325824,1.0,GABRA5
ENSG00000173585,0.05670724,0.73043835,0.9547784065077916,1.0,CCR9
ENSG00000259482,0.057799526,1.8820539,0.9539083168039542,1.0,RORA-AS2
ENSG00000155511,0.058170006,0.28722802,0.9536132110823536,1.0,GRIA1
ENSG00000228740,0.060009643,0.5614615,0.952147953517766,1.0,GABRG3-AS1
ENSG00000187730,0.06109128,1.4047391,0.9512865115316396,1.0,GABRD
ENSG00000103522,0.06229216,0.46365103,0.950330174159086,1.0,IL21R
ENSG00000157219,0.0644384,2.275818,0.9486211545250336,1.0,HTR5A
ENSG00000224825,0.06444692,0.3052593,0.9486143731666976,1.0,RORB-AS1
ENSG00000124493,0.06673795,1.2500387,0.9467903245341348,1.0,GRM4
ENSG00000169403,0.066746466,-0.0072950795,0.9467835441985732,1.0,PTAFR
ENSG00000246214,0.06740013,0.08534125,0.946263164981324,1.0,RETREG1-AS1
ENSG00000186810,0.07107727,2.4483166,0.9433362535943,1.0,CXCR3
ENSG00000139626,0.054993227,0.30044532,0.956143860195826,1.0,ITGB7
ENSG00000160801,0.014874659,-0.19892658,0.9881321772821702,1.0,PTH1R
ENSG00000236340,0.03886872,3.8461883,0.9689950540764584,1.0,GRM8-AS1
ENSG00000134460,0.035838857,0.028151846,0.9714108499276514,1.0,IL2RA
ENSG00000172215,0.015594332,0.825274,0.9875580280651745,1.0,CXCR6
ENSG00000176884,0.015839191,0.18304211,0.9873626828923016,1.0,GRIN1
ENSG00000160867,0.016925087,0.41767526,0.9864963788086104,1.0,FGFR4
ENSG00000126353,0.018900994,0.5457463,0.9849200866625256,1.0,CCR7
ENSG00000075073,0.022233207,0.79037416,0.9822619287941576,1.0,TACR2
ENSG00000159958,0.02225024,1.5256737,0.9822483412474772,1.0,TNFRSF13C
ENSG00000168830,0.023457503,0.13988826,0.9812853372269642,1.0,HTR1E
ENSG00000126895,0.023470277,0.27345067,0.981275146851574,1.0,AVPR2
ENSG00000260001,0.024907494,-0.013173265,0.9801287495218712,1.0,TGFBR3L
ENSG00000235319,0.02605301,0.7335008,0.9792150576653014,1.0,TGFBRAP1-AS1
ENSG00000173535,0.026747132,0.072753094,0.9786614211438704,1.0,TNFRSF10C
ENSG00000145388,0.027311372,-0.01471295,0.9782113867476104,1.0,METTL14
ENSG00000183625,0.036867265,0.7289154,0.9705908409155194,1.0,CCR3
ENSG00000171962,0.02863574,-0.007384825,0.9771551070934076,1.0,DRC3
ENSG00000234601,0.028889116,1.5547367,0.9769530259442432,1.0,CHRM3-AS1
ENSG00000147168,0.03017303,0.4208606,0.975929057919336,1.0,IL2RG
ENSG00000110324,0.03054777,0.10072013,0.9756301957169092,1.0,IL10RA
ENSG00000163285,0.031175887,0.6765982,0.975129269605926,1.0,GABRG1
ENSG00000149295,0.031182274,0.55729705,0.9751241754921348,1.0,DRD2
ENSG00000160951,0.032208554,1.4468008,0.9743057345306904,1.0,PTGER1
ENSG00000183134,0.032212812,1.9560059,0.9743023385658678,1.0,PTGDR2
ENSG00000163515,0.032212812,1.8101861,0.9743023385658678,1.0,RETNLB
ENSG00000166603,0.03221707,2.3661253,0.9742989426015108,1.0,MC4R
ENSG00000070886,0.03222133,2.6979592,0.9742955466376196,1.0,EPHA8
ENSG00000180772,0.03222133,3.145595,0.9742955466376196,1.0,AGTR2
ENSG00000152822,0.033688355,0.13210855,0.9731256652271308,1.0,GRM1
ENSG00000188763,0.028889116,1.3160981,0.9769530259442432,1.0,FZD9
ENSG00000180871,-0.013303302,-18.181795,0.9893858139812026,1.0,CXCR2
ENSG00000244968,-0.06815174,-0.1790681,0.9456648419835472,1.0,LIFR-AS1
ENSG00000104918,-0.013303302,-17.97733,0.9893858139812026,1.0,RETN
ENSG00000128602,-0.32212174,-0.09761802,0.7473604710092169,1.0,SMO
ENSG00000134569,-0.28528216,-0.60048574,0.7754279851769504,1.0,LRP4
ENSG00000171522,-0.2705161,-3.251027,0.7867632449793429,1.0,PTGER4
ENSG00000137462,-0.26379418,-0.09010422,0.7919385279810435,1.0,TLR2
ENSG00000123612,-0.26362172,-1.0491124,0.7920714333959683,1.0,ACVR1C
ENSG00000099957,-0.25524113,-0.3607736,0.7985368626898126,1.0,P2RX6
ENSG00000106128,-0.25245187,-0.2923836,0.8006918122217571,1.0,GHRHR
ENSG00000198542,-0.252141,-0.11369938,0.800932076473212,1.0,ITGBL1
ENSG00000100068,-0.24756107,-0.25657266,0.804474031185315,1.0,LRP5L
ENSG00000243509,-0.24664551,-0.9474402,0.8051825769496014,1.0,TNFRSF6B
ENSG00000104290,-0.23804563,-0.064327165,0.811845698262908,1.0,FZD3
