gene,uniprot_locations,deliver_category,deliver_score
EDN3,Secreted,secreted,1.0
FGFRL1,Membrane,membrane,0.5
ITGB8,Cell membrane,membrane,0.5
SORBS1,"Cell junction, adherens junction | Cell membrane | Cytoplasm, cytoskeleton | Cell junction, focal adhesion | Nucleus | Nucleus matrix",membrane,0.5
FZD8,Membrane | Golgi apparatus | Cell membrane,membrane,0.5
RSPO2,Secreted,secreted,1.0
LAMB1,"Secreted, extracellular space, extracellular matrix, basement membrane",secreted,1.0
NECTIN2,Cell membrane,membrane,0.5
IL13RA1,Membrane,membrane,0.5
ITGA9,Membrane,membrane,0.5
ACVR2A,Cell membrane,membrane,0.5
TNFSF13,Secreted,secreted,1.0
KCND1,Cell membrane,membrane,0.5
ITGB5,Cell membrane,membrane,0.5
PLXNB2,Cell membrane,membrane,0.5
EPHA3,Cell membrane | Secreted,secreted,1.0
LAMC2,"Secreted, extracellular space, extracellular matrix, basement membrane",secreted,1.0
IL12RB1,Membrane,membrane,0.5
FGF6,"Secreted, extracellular space",secreted,1.0
SEMA6A,Cell membrane,membrane,0.5
RGMA,Cell membrane,membrane,0.5
NEO1,Cell membrane,membrane,0.5
NRTN,Secreted,secreted,1.0
EPHA1,Cell membrane,membrane,0.5
LRPAP1,"Rough endoplasmic reticulum lumen | Endoplasmic reticulum-Golgi intermediate compartment lumen | Golgi apparatus, cis-Golgi network | Golgi apparatus lumen | Endosome lumen | Cell surface",other,0.3
TRHR,Cell membrane,membrane,0.5
JMJD6,"Nucleus, nucleoplasm | Nucleus, nucleolus | Cytoplasm",intracellular,0.1
PLXNA4,Cell membrane,membrane,0.5
RSPO1,Secreted | Nucleus,secreted,1.0
GFRA2,Cell membrane,membrane,0.5
SDC3,Cell membrane,membrane,0.5
SEMA4C,"Postsynaptic density membrane | Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane",membrane,0.5
AFDN,"Cell junction, adherens junction",other,0.3
GRIN2D,Cell membrane | Postsynaptic cell membrane,membrane,0.5
SCGB3A1,Secreted,secreted,1.0
PTPRF,Membrane,membrane,0.5
OGFR,Cytoplasm | Nucleus,intracellular,0.1
FZD3,Membrane | Cell membrane | Cell surface | Apical cell membrane,membrane,0.5
NECTIN4,"Cell membrane | Cell junction, adherens junction | Secreted",secreted,1.0
PTPRM,Cell membrane,membrane,0.5
UNC5C,"Cell membrane | Cell surface | Synapse, synaptosome | Cell projection, axon | Cell projection, dendrite | Cell projection, growth cone | Cell projection, lamellipodium | Cell projection, filopodium",membrane,0.5
IL13RA2,Cell membrane,membrane,0.5
EPHA7,Cell membrane,membrane,0.5
MFNG,Golgi apparatus membrane,membrane,0.5
EFNA2,Cell membrane,membrane,0.5
EPHB6,Membrane | Secreted,secreted,1.0
EDN2,Secreted,secreted,1.0
IL1RAPL1,"Cell membrane | Cytoplasm | Cell projection, axon | Cell projection, dendrite",membrane,0.5
NTNG2,Cell membrane,membrane,0.5
NECTIN3,"Cell membrane | Postsynaptic cell membrane | Cell junction, adherens junction",membrane,0.5
RGMB,Cell membrane | Membrane raft,membrane,0.5
PTDSS1,Endoplasmic reticulum membrane,membrane,0.5
ITGB3BP,"Nucleus | Chromosome, centromere | Chromosome, centromere, kinetochore | Nucleus | Nucleus | Cytoplasm | Cytoplasm",intracellular,0.1
NTN3,"Secreted, extracellular space, extracellular matrix",secreted,1.0
INHBB,Secreted,secreted,1.0
LRRC4,Membrane | Postsynaptic cell membrane,membrane,0.5
NPFFR1,Cell membrane,membrane,0.5
SEMA4F,"Cell membrane | Postsynaptic density | Perikaryon | Cell projection, dendrite",membrane,0.5
GPHA2,Secreted,secreted,1.0
