receptor,ligand,n_db,m_r_score,m_l_score,m_r_lfc,m_l_lfc,h_r_score,h_l_score,h_r_lfc,h_l_lfc,m_strict,h_strict,conservation,m_mismatch_score,h_mismatch_score,avg_mismatch_score
CD180,LY86,3,0.95,-1.03,0.45,-5.42,0.0,-0.15,-0.2851,-1.8033,trend,trend,CONSERVED_relaxed,0.0049,0.0004,0.0027
ITGB7,CDH1,4,0.08,-0.61,-1.53,-2.41,0.05,-0.93,0.3004,-1.2691,trend,trend,CONSERVED_relaxed,0.0017,0.0025,0.0021
ERBB3,BTC,4,0.05,-0.78,-0.74,-1.9,0.01,-0.49,-0.0146,-0.4203,trend,trend,CONSERVED_relaxed,0.0021,0.0013,0.0017
IL12RB2,IL12B,4,0.01,-0.03,-0.22,-3.1,1.03,-0.01,1.1705,-16.9204,trend,trend,CONSERVED_relaxed,0.0001,0.0026,0.0014
IL13RA2,IL4,4,0.39,-0.01,0.02,-0.07,0.51,-0.01,2.0911,-16.8069,trend,trend,CONSERVED_relaxed,0.001,0.0013,0.0011
CSF3R,CSF3,5,0.2,-0.34,-1.38,-1.32,0.18,-0.02,0.5186,-18.1958,trend,trend,CONSERVED_relaxed,0.0013,0.0005,0.0009
LGR5,RSPO2,5,0.38,-0.04,-1.11,-0.65,0.23,-0.06,0.8009,-0.2597,trend,trend,CONSERVED_relaxed,0.001,0.0007,0.0009
CCR4,CCL3,4,0.0,-0.44,-1.56,-3.83,0.04,-0.12,1.6815,-21.3065,trend,trend,CONSERVED_relaxed,0.0011,0.0004,0.0008
OXTR,OXT,5,0.34,-0.03,1.04,-1.29,0.15,-0.05,0.8267,-0.6972,trend,trend,CONSERVED_relaxed,0.0009,0.0005,0.0007
IL23R,IL12B,4,0.12,-0.03,1.45,-3.1,0.29,-0.01,1.8216,-16.9204,trend,trend,CONSERVED_relaxed,0.0004,0.0007,0.0006
NPY5R,NPY,5,0.05,-0.29,-0.38,-2.39,0.03,-0.02,0.3358,-18.4827,trend,trend,CONSERVED_relaxed,0.0009,0.0001,0.0005
IL12RB1,IL12B,4,0.05,-0.03,0.3,-3.1,0.1,-0.01,0.4291,-16.9204,trend,trend,CONSERVED_relaxed,0.0002,0.0003,0.0002
TRHR,TRH,5,0.01,-0.05,20.33,-1.23,0.09,-0.01,0.6466,-16.7832,trend,trend,CONSERVED_relaxed,0.0002,0.0002,0.0002
CCR6,DEFB1,4,0.01,-0.02,0.24,-5.67,0.11,-0.01,0.9048,-17.3654,trend,trend,CONSERVED_relaxed,0.0001,0.0003,0.0002
