gene,pct_quiescent,pct_activated,odds_ratio,log_or,fisher_p
Gnai3,0.3643600858890734,0.5707313220660243,2.319438550897758,0.8413251524671637,0.0
Cdc45,0.046712312117651825,0.10505449376085926,2.3955799111456746,0.873625335643203,2.4341185824746342e-297
Scml2,0.009946116760523437,0.019665139788343073,1.9967692040881522,0.6915304764419061,4.516408221588717e-41
Apoh,0.005084471093465138,0.010030011056705103,1.9825301903673698,0.6843739028433836,2.193360194677067e-21
Narf,0.11513997488149738,0.2286210709208656,2.2777021329600244,0.8231670983366922,0.0
Cav2,0.13484989669002959,0.13400726583478123,0.9927843993058165,-0.007241759048989919,0.6855389337645552
Klf6,0.6221893610987319,0.7426630864002527,1.7524327171078014,0.5610049466690836,0.0
Scmh1,0.15828708017663978,0.3060969830990365,2.3457341953928648,0.852598442615656,0.0
Cox5a,0.7371875379816067,0.8693887221607961,2.373019426392945,0.8641631638478234,0.0
Tbx2,0.03998703561155451,0.07829726741431053,2.0394526128585637,0.7126814448198706,8.790820743299108e-162
Tbx4,0.002633391402989912,0.0014689622492497236,0.5571709654535477,-0.5848831463782521,1.835328092430057e-05
Ngfr,0.008507879917352024,0.006491865424103617,0.7614931420667601,-0.27247411250919334,9.647388280150317e-05
Wnt3,8.102742778430499e-05,6.31811720107408e-05,0.7797365178656052,-0.24879921397316182,0.7362484780311453
Wnt9a,0.07472754527407527,0.06362344021481599,0.8413089943798312,-0.17279627343315251,2.850554321678437e-13
Fer,0.20516144714986023,0.38693729268677934,2.4452251843194017,0.8941372186120332,0.0
Xpo6,0.11578819430377182,0.21859105986416047,2.136220350567224,0.7590380761551964,0.0
Tfe3,0.15699064133209092,0.21465803190649185,1.467732696649625,0.38371882686158204,2.4757760976359563e-134
Axin2,0.02120892922254183,0.018701626915179275,0.879527789613006,-0.12837011824513786,0.002932550003569818
Brat1,0.03382895109994733,0.06278628968567367,1.9133378982323548,0.6488493074962448,2.778699340872714e-112
Gna12,0.15934043673783577,0.2551729584583794,1.8074794478601293,0.5919333045076483,0.0
Slc22a18,0.02536158489648746,0.034954983414942346,1.3919661141156097,0.3307172183081731,1.1499882748033905e-20
Igsf5,0.00024308228335291496,0.0006634023061127784,2.7302743883163685,1.0044021126870177,0.0013844244551556699
Pih1d2,0.01926427095571851,0.03004264729110725,1.5768303804064616,0.4554167437981503,6.1888939761702425e-31
Dlat,0.24966576186038975,0.37243721371031435,1.7835761704358362,0.5786204333073186,0.0
Sdhd,0.4897702872422315,0.621276259674617,1.7089743333694212,0.5358933855124368,0.0
Fgf23,0.00024308228335291496,0.0002685199810456484,1.1046745559013897,0.09955077204406336,0.853207650745764
Fgf6,6.077057083822874e-05,1.57952930026852e-05,0.2599051214413959,-1.3474386320983076,0.3255198180024085
Ccnd2,0.42594093100514524,0.6021007739693571,2.0394041447061575,0.7126576792623679,0.0
Gpr107,0.25795081635133493,0.441746959406097,2.2763459060172813,0.8225714845130218,0.0
Nalcn,0.021127901794757525,0.030058442584109935,1.4357885563716217,0.36171421491788414,5.900765687798151e-21
Btbd17,0.00024308228335291496,0.0003001105670510188,1.2346752829522891,0.21080800672453626,0.593166499928147
Slfn4,0.00020256856946076246,9.47717580161112e-05,0.46779982307595097,-0.7597148030365956,0.13995285685640302
Th,0.00032410971113721996,0.0001895435160322224,0.5847341148219533,-0.5365980396466509,0.18320575185821547
Ins2,0.002228254264068387,0.0012952140262201864,0.5807254553506214,-0.5434771719344033,0.00019235660473928152
Drp2,0.005793461086577806,0.012699415574158901,2.207358443239799,0.7917965260671739,2.3473501069932753e-33
Tspan32,0.009622007049386217,0.008118780603380192,0.8424932865318274,-0.1713895852955857,0.007540132969390562
Lhx2,0.0015800348417939472,0.004470067919759912,2.837307413631846,1.0428555086563154,1.1787836291681734e-18
Clec2g,0.0042336831017299355,0.0010424893381772232,0.24545036932981368,-1.404660513774324,1.88843805269778e-27
Gmpr,0.0584207754324839,0.06025904280524404,1.0334836818301611,0.032935310784421384,0.1997465286003149
Glra1,0.0031398128266418184,0.006870952456168062,2.19655332521003,0.7868894614939035,1.0797655611533426e-18
Mid2,0.044808167564720655,0.11359974727531195,2.7320013557070104,1.0050344379408547,0.0
Trim25,0.12172345338897217,0.20323803506555047,1.8404897956081163,0.6100317294630337,1.3222856236972444e-296
Dgke,0.018332455536199003,0.026804612225556784,1.4748684288751934,0.3885687850505778,2.5450182956728497e-21
Scpep1,0.38127456143904714,0.5885326172800506,2.3211075535203936,0.8420444655208622,0.0
Mnt,0.06269497224810598,0.11074079924182594,1.8617763894548611,0.6215310800508543,5.539391260445939e-178
Itgb2,0.008933273913219625,0.00750276417627547,0.8386567273788909,-0.17595380119717277,0.008249011619881168
Hddc2,0.18366892193007334,0.2845206128573685,1.7674505135339509,0.5695381203960459,0.0
Tpd52l1,0.019892233521046875,0.026504501658505764,1.3414545939052478,0.2937545430540931,3.1376622042116497e-13
Pemt,0.04158732731029453,0.055662612541462646,1.358400832428322,0.3063081493753485,1.4030212982184089e-27
Cdh1,0.0029169874002349795,0.0008055599431369452,0.27557804686553167,-1.2888843988007679,2.064811195479252e-17
Cdh4,0.0038893165336466393,0.0018006634023061128,0.4620080780429141,-0.7721729031118855,2.963910909452929e-11
Ckmt1,0.015496495563748328,0.004533249091770652,0.2893120978034889,-1.240249250371821,7.160625531918446e-81
Bcl6b,0.024267714621399344,0.034623282261885956,1.4420264016497057,0.3660493477448753,2.3835948739174532e-24
Clec10a,0.0014179799862253373,0.0006002211341020376,0.42294673337788774,-0.8605090336857772,1.5032765761713802e-05
Alox12,0.007920431065915813,0.006602432475122414,0.8324891142091838,-0.18333513323803455,0.010416629803648348
Comt,0.6855933233399506,0.8205338809034908,2.0967141562372276,0.7403714318213852,0.0
Rtca,0.1957217518129887,0.29611435792133944,1.7287197289245841,0.5473810934600569,0.0
Dbt,0.08202001377466273,0.12118148791660086,1.5433003651279944,0.43392321751374435,3.840222216903332e-103
Dazap2,0.4552120892922254,0.516205970620755,1.2769567656588494,0.2444797202978244,7.061346121067935e-92
Mcts1,0.371146132966009,0.5726109619333438,2.2700795420049977,0.8198148714102422,0.0
Rem1,0.3019892233521047,0.2311641130942979,0.6949562245769947,-0.36390642162121173,1.3043168866741187e-157
Rnf17,0.0067050196491512375,0.016048017690728163,2.4161599168624135,0.8821794686363674,2.9843097138169665e-49
Trappc10,0.09962322246080298,0.1885642078660559,2.100239394416955,0.7420513355735813,0.0
Ccm2,0.29273183972774786,0.4503395987995577,1.9795197147383463,0.6828542469680255,0.0
Tbrg4,0.0698456427500709,0.11123045332490918,1.6666724188862811,0.5108290750918035,2.1714284639456672e-127
Tmprss2,0.0005671919944901349,0.00017374822302953718,0.30620998300582497,-1.1834841933970544,0.0005393644274230855
Mx1,0.0042944536725681645,0.019728320960353814,4.666235715134805,1.540352689926097,2.966417131555192e-129
Fap,0.13535631811368148,0.35697362186068554,3.5462224650437375,1.2658829425831064,0.0
Gcg,6.077057083822874e-05,1.57952930026852e-05,0.2599051214413959,-1.3474386320983076,0.3255198180024085
Ndufa9,0.4178179313697687,0.5319380824514295,1.5835417801512095,0.4596639713350741,0.0
Egfl6,0.005833974800469959,0.00157952930026852,0.2695929793105873,-1.3108419414158978,6.695460442167234e-34
Lck,0.002815703115504598,0.00510187963986732,1.8161017124351229,0.596692287660831,1.4596475781347168e-09
Cttnbp2,0.007738119353401126,0.006270731322066024,0.8091722775480775,-0.21174343336082327,0.003326169064323918
Galnt1,0.3410444435441397,0.47016269151792767,1.7145524462163206,0.5391520822554412,0.0
Myf5,0.00010128428473038123,7.8976465013426e-05,0.7797330384645763,-0.24880367626101443,0.7565170889679012
Mkrn2,0.15160231738443464,0.225841099352393,1.6325500385751799,0.4901432331995773,7.260798492440754e-219
Pparg,0.01430134100392983,0.011972832096035382,0.8352094683285829,-0.18007272531770677,0.000685406484648241
Raf1,0.26455455171575576,0.3575106618227768,1.5468859656190173,0.4362438556348133,5.177078429539261e-245
Septin1,0.1067738929627679,0.14639077554888644,1.4346664512029477,0.3609323840075433,2.1246459233981097e-87
Pdgfb,0.014281084146983754,0.005022903174853894,0.3484445171018002,-1.0542762663288827,2.4294068211693435e-59
Acvrl1,0.39841186241542764,0.5352392986889907,1.7389440058422783,0.5532780357981261,0.0
Tamalin,0.20345987116638983,0.16043279102827357,0.7481119047818668,-0.2902027068740688,2.1245547928200914e-77
Acvr1b,0.037394157922456754,0.06588216711419997,1.815561432229635,0.5963947489365871,4.6623603514924344e-102
Tom1l2,0.07004821131953166,0.08779023850892434,1.277658820936429,0.24502935704077528,7.233206867089204e-28
Gpa33,2.0256856946076248e-05,4.73858790080556e-05,2.3393147677192094,0.8498580521772418,0.6363919080290357
Zfp385a,0.32030142203135764,0.1631811720107408,0.4138053483305298,-0.8823595888375221,0.0
Itga5,0.19134627071263624,0.32236613489180227,2.0104667807016634,0.6983669243147643,0.0
Gabra2,0.010047401045253819,0.01145158742694677,1.141375149151992,0.13223380663182382,0.025521698483881188
Wdr77,0.18387149049953408,0.31862265045016586,2.0755495506622976,0.7302259623104355,0.0
Adora3,0.00024308228335291496,0.0001421576370241668,0.5847537953586831,-0.5365643829725453,0.27226308328048043
Atp5pb,0.8127658712474173,0.9005212446690886,2.0853702587629734,0.7349464216254378,0.0
Sox9,0.3223473645829113,0.5702100773969357,2.7890844726192054,1.025713395966968,0.0
Hnrnpd,0.35463679455495684,0.5217501184646975,1.9853089177736094,0.6857745281130941,0.0
Dynlt1c,0.522323056354576,0.5161111988627389,0.9754225559634115,-0.024884511139223475,0.03873785874756608
C1d,0.6358424826803873,0.791170431211499,2.169790455436715,0.7746305985748566,0.0
Gm2a,0.3849815662601791,0.40102669404517455,1.0695818189049902,0.06726774862914442,4.544527442323552e-08
Krit1,0.4072438520439169,0.640593903016901,2.594292206674541,0.953313726687488,0.0
Clcn4,0.3835028157031155,0.5558837466435003,2.012101334497204,0.6991796160274684,0.0
Vmn2r88,0.007170927358910992,0.009777286368662139,1.3670506773109288,0.3126556289719511,2.447944917933036e-06
Grm6,4.0513713892152495e-05,0.00011056705101879639,2.729317725858174,1.0040516606942758,0.3149711538014587
Sema4f,0.001154640845926346,0.0015637340072658349,1.3548582899878352,0.30369686582766936,0.07541999476417324
Hk2,0.08301259976502046,0.16204391091454745,2.1361453902305434,0.7590029853688565,0.0
Myo18a,0.07557833326581048,0.11686937292686779,1.6186336815180304,0.48158238690659605,4.249361921582202e-120
Sez6,0.00018231171251468622,9.47717580161112e-05,0.5197881123888959,-0.6543340266228398,0.297806100356233
Haao,0.00020256856946076246,0.000157952930026852,0.7797156398104266,-0.24882599011384313,0.6545977621429265
Cd52,0.010189199043876352,0.007992418259358711,0.7826639931128471,-0.24505180266271875,0.00011350360605635893
Abhd15,0.010837418466150791,0.013283841415258252,1.2287775783517596,0.2060198364607463,0.00019973157080793643
Hoxb6,0.0008507879917352024,0.002779971568472595,3.27384685936338,1.1859657030728614,2.7088795200830535e-14
Loxl3,0.21930073329822145,0.6695466750908229,7.21297487359594,1.9758814700267588,0.0
Btn1a1,0.00016205485556860998,0.0002843152740483336,1.7546530367187005,0.5622711374972483,0.23572975390344608
Kat2b,0.17623465543086334,0.20922445111356816,1.2367200695753113,0.21246276996387323,5.506833531572045e-44
Rab5b,0.1991249037799295,0.2570052124466909,1.391218598138637,0.3301800523833561,1.403616817282996e-116
Cryba1,0.00010128428473038123,0.0003317011530563892,3.2757066788857463,1.1865336256225416,0.0159337204705048
Dnmt3l,0.0540655511890775,0.05123993050071079,0.944914559265188,-0.056660769051930564,0.035697450787421856
Aire,0.00024308228335291496,0.00039488232506713,1.6247267651628874,0.48533965712868077,0.1865837143265236
Icosl,0.08396467204148604,0.015274048333596588,0.1692210572402991,-1.7765493877786764,0.0
Spg7,0.20437142972896324,0.30922445111356817,1.7427177610724094,0.5554458263306994,0.0
Sult5a1,0.13756431552080378,0.07387458537355868,0.5000877085468257,-0.6929717788500732,2.569528277222791e-267
Rpl13,0.9941862820564761,0.9944242615700521,1.0429308427812545,0.042034867762050385,0.6036993722493166
Chmp1a,0.34485273265000205,0.44405307218448903,1.517423503471652,0.41701383310704077,1.6569657691534846e-250
Rpa1,0.14382368431714135,0.16844100458063496,1.205834088220391,0.1871715168845461,1.5956339209151254e-29
Serpinf1,0.85121338573107,0.9581108829568789,3.9979741688446158,1.3857877750379801,0.0
Tubgcp3,0.07944739294251103,0.12351919128099827,1.6329052677876366,0.4903608011529134,2.260533310317836e-130
Polr3d,0.21454037191589354,0.39312904754383193,2.37166651490346,0.8635928788835958,0.0
Tcf7,0.012457967021836892,0.01786447638603696,1.4418739131986762,0.36594359620389,2.226766736914992e-13
Ddx3x,0.40821618117732855,0.6297109461380509,2.46531965982307,0.9023214785284093,0.0
Il12rb1,0.00022282542640683872,0.00039488232506713,1.7724651109339424,0.5723712956952698,0.13064896969544154
Slc5a5,0.0003443665680832962,0.000552835255093982,1.6057033955423339,0.47356191325167574,0.12406585725456082
Kcnn3,0.014341854717821984,0.01701153056389196,1.1893672140264566,0.1734214127737709,0.00037071650642079505
Usp32,0.06939999189725722,0.13075343547622809,2.0170365029671853,0.7016293564618518,6.89278053267291e-255
Car4,0.013896203865008306,0.00355394092560417,0.253094591475105,-1.373991980781843,1.4530643047268465e-83
Txnrd3,0.06350524652594904,0.07267414310535461,1.1556951550538117,0.1447020287726047,1.4933634562560743e-09
Fasl,6.077057083822874e-05,7.8976465013426e-05,1.2996077192428193,0.262062464501862,1.0
Zfp512b,0.04648948669124499,0.0932712051808561,2.1097981907780192,0.7465922987327452,4.806021042427734e-206
Dnajc5,0.2742373293359802,0.4296003790870321,1.9932119556740235,0.6897473856381203,0.0
Tpd52l2,0.5502775189401612,0.6312430895593113,1.3990050963735723,0.3357613385455954,5.884927441759657e-166
Fmr1,0.29101000688733136,0.46859895751066183,2.148379987891053,0.7647140641161226,0.0
Bcl11a,0.0009520722764655836,0.0016427104722792608,1.7265988079504975,0.5461534664162306,0.0017344575255916375
Il4,8.102742778430499e-05,4.73858790080556e-05,0.5847931508364004,-0.5364970825912135,0.706617261507617
Pxmp4,0.15575497305838026,0.22364555362501976,1.5614454361048788,0.4456119538739047,1.2504927220880923e-182
Dlg3,0.04768464125106348,0.1038382561996525,2.3140527505713235,0.8390004247827529,1.136693805661433e-275
Gnb1l,0.02756958230360977,0.03914073606065392,1.4368040903101775,0.3624212653811902,8.672046141508441e-27
Dbh,0.0032410971113721993,0.001958616332332965,0.603530054125914,-0.504959439972976,2.547006386047156e-05
Mmp11,0.10894137665599805,0.2153688200916127,2.245074127234237,0.8087385394616864,0.0
Smarcb1,0.4662318194708909,0.6403095877428526,2.038036294381486,0.7119867434650617,0.0
