rank,receptor,ligand,r_logfc,l_logfc,n_db,starvation,mismatch_composite,pathway,h_receptor,h_ligand,conservation,conservation_score,drug_receptor,drug_ligand,druggability_auto,lit_receptor,lit_ligand,literature_auto,mismatch_norm,priority_score
31,Bmpr1a,Bmp2,9.56,-12.8,4,0.4,0.306,BMP,BMPR1A,BMP2,mouse_only,0.2,0.697,0.543,0.5892,0.615,0.867,0.741,0.306,0.41784
32,Fgfr2,Fgf1,4.81,-7.3,5,0.333,0.1171,FGF,FGFR2,FGF1,mouse_only,0.2,0.997,0.804,0.8618999999999999,0.675,0.744,0.7095,0.1171,0.40940999999999994
33,Ephb6,Afdn,6.09,-6.35,4,0.4,0.1238,Other,EPHB6,AFDN,CONSERVED_strict,1.0,0.461,0.0,0.1383,0.19,0.245,0.2175,0.1238,0.4083
34,Acvr1,Bmp2,21.96,-12.8,3,0.444,0.2667,BMP/Activin,ACVR1,BMP2,mouse_only,0.2,0.882,0.543,0.6447,0.524,0.867,0.6955,0.2667,0.40805
35,Epha3,Efna2,5.34,-1.9,5,0.429,0.0435,Other,EPHA3,EFNA2,CONSERVED_relaxed,0.7,0.613,0.702,0.6752999999999999,0.3,0.19,0.245,0.0435,0.40710999999999997
36,Sdc1,Lpl,53.42,-440.89,4,0.25,0.2,Other,SDC1,LPL,mouse_only,0.2,0.497,0.699,0.6384,0.623,0.948,0.7855,0.2,0.40478000000000003
37,Cd44,Fgf2,65.3,-3.87,4,0.2,0.062,Other,CD44,FGF2,mouse_only,0.2,0.666,0.72,0.7038,0.877,0.959,0.9179999999999999,0.062,0.40296
38,Fgfr2,Fgf2,4.81,-3.87,5,0.333,0.0622,FGF,FGFR2,FGF2,mouse_only,0.2,0.997,0.72,0.8030999999999999,0.675,0.959,0.817,0.0622,0.40268
39,Cd44,Fgf1,65.3,-7.3,3,0.2,0.0876,Other,CD44,FGF1,mouse_only,0.2,0.666,0.804,0.7626,0.877,0.744,0.8105,0.0876,0.40090000000000003
40,Fgfrl1,Fgf2,43.27,-3.87,4,1.0,0.31,FGF,FGFRL1,FGF2,mouse_only,0.2,0.261,0.72,0.5823,0.34,0.959,0.6495,0.31,0.39936000000000005
41,Ogfr,Penk,16.17,-129.5,4,1.0,0.8,Other,OGFR,PENK,mouse_only,0.2,0.261,0.0,0.0783,0.245,0.589,0.417,0.8,0.39905999999999997
42,Neo1,Rgma,49.09,-33.87,4,1.0,0.8,Other,NEO1,RGMA,mouse_only,0.2,0.0,0.297,0.20789999999999997,0.284,0.284,0.284,0.8,0.39838
43,Fgfr2,Fgf16,4.81,-4.56,3,0.333,0.0439,FGF,FGFR2,FGF16,CONSERVED_relaxed,0.7,0.997,0.0,0.2991,0.675,0.474,0.5745,0.0439,0.39788999999999997
44,Ephb3,Afdn,11.25,-6.35,4,0.5,0.254,Other,EPHB3,AFDN,CONSERVED_relaxed,0.7,0.762,0.0,0.2286,0.361,0.245,0.303,0.254,0.39252
45,Itgb8,Tgfb1,12.0,-6.73,4,0.5,0.2692,Other,ITGB8,TGFB1,mouse_only,0.2,0.261,0.763,0.6124,0.34,0.927,0.6335000000000001,0.2692,0.38994000000000006
46,Itgav,Tgfb1,50.48,-6.73,4,0.294,0.1584,Other,ITGAV,TGFB1,mouse_only,0.2,0.634,0.763,0.7243,0.423,0.927,0.675,0.1584,0.38738000000000006
47,Tgfbr1,Tgfb1,8.33,-6.73,4,0.2,0.0897,TGF-β,TGFBR1,TGFB1,mouse_only,0.2,0.384,0.763,0.6493,0.779,0.927,0.853,0.0897,0.38737
48,Neo1,Ntn1,49.09,-35.44,4,1.0,0.8,Other,NEO1,NTN1,mouse_only,0.2,0.0,0.0,0.0,0.284,0.54,0.41200000000000003,0.8,0.3824
49,Grin2d,Il16,1.82,-6.91,4,1.0,0.1005,Other,GRIN2D,IL16,CONSERVED_relaxed,0.7,0.895,0.0,0.2685,0.245,0.599,0.422,0.1005,0.37825
50,Epha7,Afdn,31.96,-6.35,4,0.5,0.254,Other,EPHA7,AFDN,CONSERVED_relaxed,0.7,0.678,0.0,0.2034,0.22,0.245,0.23249999999999998,0.254,0.37338
51,Bmpr2,Bmp4,15.12,-73.53,4,0.4,0.32,BMP,BMPR2,BMP4,mouse_only,0.2,0.773,0.0,0.2319,0.841,0.86,0.8505,0.32,0.37248000000000003
52,Sdc1,Fgf2,53.42,-3.87,4,0.25,0.0775,Other,SDC1,FGF2,mouse_only,0.2,0.497,0.72,0.6531,0.623,0.959,0.7909999999999999,0.0775,0.37207
53,Bmpr2,Bmp7,15.12,-3.08,4,0.4,0.0985,BMP,BMPR2,BMP7,mouse_only,0.2,0.773,0.613,0.661,0.841,0.657,0.749,0.0985,0.37155000000000005
54,Fas,Tnfsf13,26.55,-3.27,4,1.0,0.2619,Other,FAS,TNFSF13,mouse_only,0.2,0.962,0.297,0.49649999999999994,1.0,0.315,0.6575,0.2619,0.36937
55,Itgb3,Tgm2,4.57,-65.47,4,0.455,0.1663,Other,ITGB3,TGM2,mouse_only,0.2,0.646,0.727,0.7026999999999999,0.646,0.514,0.5800000000000001,0.1663,0.3664299999999999
56,Itgb5,Ccn1,150.65,-156.37,4,0.6,0.48,Other,ITGB5,CCN1,mouse_only,0.2,0.343,0.323,0.329,0.315,0.596,0.4555,0.48,0.3609
57,Lrp6,Rspo1,12.87,-24.78,4,0.25,0.2,Wnt,LRP6,RSPO1,CONSERVED_relaxed,0.7,0.0,0.0,0.0,0.614,0.266,0.44,0.2,0.35800000000000004
58,Neo1,Rgmb,49.09,-66.8,4,1.0,0.8,Other,NEO1,RGMB,mouse_only,0.2,0.0,0.1,0.06999999999999999,0.284,0.15,0.21699999999999997,0.8,0.3574
59,Nrp2,Pgf,9.63,-111.07,5,0.2,0.1925,Sema/VEGF,NRP2,PGF,mouse_only,0.2,0.461,0.523,0.5044,0.517,0.868,0.6925,0.1925,0.35713
60,Itgb1,Tgm2,334.47,-65.47,4,0.2,0.16,Other,ITGB1,TGM2,mouse_only,0.2,0.627,0.727,0.6969999999999998,0.583,0.514,0.5485,0.16,0.3571
61,Ephb2,Afdn,10.12,-6.35,4,0.25,0.127,Other,EPHB2,AFDN,CONSERVED_relaxed,0.7,0.787,0.0,0.2361,0.351,0.245,0.298,0.127,0.35491999999999996
62,Adora2b,Ntn1,5.66,-35.44,4,1.0,0.4531,Other,ADORA2B,NTN1,mouse_only,0.2,0.861,0.0,0.2583,0.504,0.54,0.522,0.4531,0.35198999999999997
63,Fzd1,Myoc,9.44,-153.04,3,0.167,0.0944,Wnt,FZD1,MYOC,CONSERVED_relaxed,0.7,0.543,0.0,0.16290000000000002,0.351,0.451,0.401,0.0944,0.35109999999999997
64,Acvr1,Bmp7,21.96,-3.08,4,0.444,0.1095,BMP/Activin,ACVR1,BMP7,mouse_only,0.2,0.882,0.613,0.6937,0.524,0.657,0.5905,0.1095,0.34969
65,Insr,Igf2,0.6,-0.2,4,1.0,0.001,Other,INSR,IGF2,mouse_only,0.2,0.979,0.661,0.7564,0.617,0.754,0.6855,0.001,0.34868
66,Itgb1,Angpt1,334.47,-0.02,3,0.2,0.0003,Other,ITGB1,ANGPT1,mouse_only,0.2,0.627,0.87,0.7970999999999999,0.583,0.673,0.628,0.0003,0.34511000000000003
67,Bmpr1a,Bmp7,9.56,-3.08,4,0.4,0.0942,BMP,BMPR1A,BMP7,mouse_only,0.2,0.697,0.613,0.6382,0.615,0.657,0.636,0.0942,0.3431
68,Bmpr1a,Bmp4,9.56,-73.53,4,0.4,0.306,BMP,BMPR1A,BMP4,mouse_only,0.2,0.697,0.0,0.20909999999999998,0.615,0.86,0.7375,0.306,0.34112
69,Egfr,Tgfa,9.12,-2.65,5,0.211,0.051,EGF,EGFR,TGFA,mouse_only,0.2,0.8,0.543,0.6201,1.0,0.416,0.708,0.051,0.34092
70,Lgr6,Rspo1,1.93,-24.78,5,0.5,0.0967,Other,LGR6,RSPO1,CONSERVED_relaxed,0.7,0.595,0.0,0.1785,0.387,0.266,0.3265,0.0967,0.34001000000000003
71,Epha7,Efna1,31.96,-5.8,5,0.5,0.29,Other,EPHA7,EFNA1,mouse_only,0.2,0.678,0.62,0.6374,0.22,0.435,0.3275,0.29,0.33998
72,Itga5,Angpt1,17.47,-0.02,4,0.308,0.0006,Other,ITGA5,ANGPT1,mouse_only,0.2,0.595,0.87,0.7875,0.46,0.673,0.5665,0.0006,0.33098
73,Itgav,Col4a3,50.48,-24.83,4,0.294,0.2353,Other,ITGAV,COL4A3,mouse_only,0.2,0.634,0.497,0.5381,0.423,0.494,0.4585,0.2353,0.32991
74,Bmpr1b,Bmp2,2.35,-12.8,4,0.444,0.0835,BMP,BMPR1B,BMP2,mouse_only,0.2,0.697,0.543,0.5892,0.403,0.867,0.635,0.0835,0.32989
