rank,receptor,ligand,receptor_logfc,receptor_padj,receptor_rank_among_receptors,ligand_logfc,ligand_padj,mismatch_score,pathway
341,Il2rg,Il15,0.68,8.341877120318331e-15,576,-16.22,3.520104297136089e-14,16.89,Other
342,Egfr,Ceacam1,9.12,4.0958356894436235e-295,232,-7.73,0.0151803951660227,16.85,EGF
343,Bmpr2,Gdf9,15.12,0.0,161,-1.58,0.6094416300484687,16.7,BMP
344,Bmpr2,Bmp5,15.12,0.0,161,-1.51,0.9999344575108172,16.64,BMP
345,Bmpr2,Gdf2,15.12,0.0,161,-1.49,0.9210310316380188,16.61,BMP
346,Wnt11,Wif1,0.41,6.225001400507857e-29,587,-16.14,0.0786458568928288,16.55,Other
347,Ephb2,Afdn,10.12,7.016598977006612e-151,218,-6.35,2.295930398484685e-110,16.47,Other
348,Egfr,Fgf1,9.12,4.0958356894436235e-295,232,-7.3,0.0001591980573015,16.42,EGF
349,Acvr1b,Inhbb,1.05,4.245720121012983e-15,530,-15.34,1.109667392529749e-07,16.39,Activin
350,Fzd1,Wnt9a,9.44,1.257713597114739e-277,227,-6.91,0.0003557073971754,16.35,Wnt
351,Lrp6,Wnt6,12.87,0.0,188,-3.46,0.4068476482136856,16.33,Wnt
352,Itga9,F13a1,12.0,2.6565569117446117e-274,197,-4.26,0.5893452165114873,16.26,Other
353,Lrp6,Wnt5b,12.87,0.0,188,-3.35,0.0016820139074368,16.22,Wnt
354,Acvr1b,Gdf10,1.05,4.245720121012983e-15,530,-15.13,1.2841645680863238e-10,16.19,Activin
355,Bmpr2,Gdf1,15.12,0.0,161,-0.85,0.1969501989070297,15.97,BMP
356,Egfr,Tgfb1,9.12,4.0958356894436235e-295,232,-6.73,1.906931661343303e-127,15.85,EGF
357,Notch3,Psen1,5.47,1.5999027198372099e-232,306,-10.1,3.2887149946609237e-39,15.57,Notch
358,Bmpr2,Bmp8a,15.12,0.0,161,-0.41,0.9999344575108172,15.53,BMP
359,Bmpr2,Gdf5,15.12,0.0,161,-0.32,0.9999344575108172,15.44,BMP
360,Bmpr2,Bmp3,15.12,0.0,161,-0.13,0.9999344575108172,15.25,BMP
361,Adgrl2,Tenm1,9.46,1.4765941406743253e-239,226,-5.69,0.9999344575108172,15.15,Other
362,Bmpr1b,Bmp2,2.35,0.0010098620916556,430,-12.8,1.2892853069774322e-31,15.15,BMP
363,Il6st,Il12a,5.93,5.237849615188786e-175,290,-9.22,3.1312177913909026e-15,15.14,Other
364,Tgfbr1,Tgfb1,8.33,2.083355141854166e-256,239,-6.73,1.906931661343303e-127,15.06,TGF-β
365,Insr,Ahsg,0.6,8.088641315405144e-42,580,-14.43,2.740125086874161e-13,15.03,Other
366,Fzd6,Wnt5a,4.0,1.2058569772357722e-55,351,-10.99,0.1652932478745672,14.99,Wnt
367,Acvr2a,Bmp2,2.08,1.3580638240402423e-37,448,-12.8,1.2892853069774322e-31,14.88,Activin
368,Mertk,Gas6,0.87,6.052572826626081e-12,547,-14.0,9.195792804308949e-45,14.87,Other
369,Egfr,Fgf13,9.12,4.0958356894436235e-295,232,-5.7,0.0007838626517363,14.82,EGF
370,Notch1,Psen1,4.4,2.465241393848366e-183,332,-10.1,3.2887149946609237e-39,14.5,Notch
371,Ror1,Wnt5a,3.47,6.539164186744252e-62,374,-10.99,0.1652932478745672,14.46,Other
372,Fzd3,Wnt5a,3.23,1.3344254210450407e-31,383,-10.99,0.1652932478745672,14.22,Wnt
373,Lrp6,Wnt7b,12.87,0.0,188,-1.19,0.9999344575108172,14.06,Wnt
374,Lrp6,Wnt3,12.87,0.0,188,-1.15,0.9999344575108172,14.02,Wnt
375,Insr,Nampt,0.6,8.088641315405144e-42,580,-13.27,1.339926174696022e-27,13.86,Other
376,Lrp6,Wnt8b,12.87,0.0,188,-0.98,0.9999344575108172,13.85,Wnt
377,Itga9,Plg,12.0,2.6565569117446117e-274,197,-1.72,0.9999344575108172,13.71,Other
378,Grin2d,Hspa1a,1.82,1.070781992248783e-09,473,-11.67,0.3695783214124509,13.49,Other
379,Itga9,L1cam,12.0,2.6565569117446117e-274,197,-1.49,0.9999344575108172,13.48,Other
380,Lrp6,Wnt2b,12.87,0.0,188,-0.56,0.9999344575108172,13.43,Wnt
381,Fzd9,Wnt5a,2.38,4.723243205884783e-09,425,-10.99,0.1652932478745672,13.36,Other
382,Ednra,Edn2,10.08,4.898784280673846e-261,219,-3.24,0.7650052570636103,13.32,Other
383,Ripk1,Cd14,3.07,3.5176668232525794e-209,396,-10.23,9.33005481645319e-11,13.3,Other
384,Adgrl2,Tenm2,9.46,1.4765941406743253e-239,226,-3.75,0.9999344575108172,13.21,Other
385,Il1rl2,Il18,3.2,1.3872751101272303e-78,388,-9.99,8.74212775120619e-14,13.19,Other
386,Lrp6,Rspo3,12.87,0.0,188,-0.21,5.704826368325124e-07,13.08,Wnt
387,Tnfrsf11b,Vwf,6.09,2.0295204175847104e-159,284,-6.97,0.8798789626748351,13.06,Other
388,Itga11,Col19a1,9.61,4.2401322936066e-209,223,-3.42,0.9999344575108172,13.03,Other
389,Lrp5,Wnt5a,1.94,3.6244646582270682e-109,460,-10.99,0.1652932478745672,12.92,Wnt
390,Lrp6,Dkk1,12.87,0.0,188,-0.04,0.9999344575108172,12.91,Wnt
391,Fzd1,Wnt6,9.44,1.257713597114739e-277,227,-3.46,0.4068476482136856,12.9,Wnt
392,Fzd1,Wnt5b,9.44,1.257713597114739e-277,227,-3.35,0.0016820139074368,12.79,Wnt
393,Bmpr1a,Bmp7,9.56,0.0,225,-3.08,0.0094799096604423,12.64,BMP
394,Ednra,Edn3,10.08,4.898784280673846e-261,219,-2.53,0.9999344575108172,12.62,Other
395,Mtnr1a,Pnoc,6.81,0.0002077081737489,266,-5.76,0.0019794034383417,12.56,Other
396,Itga11,Col4a6,9.61,4.2401322936066e-209,223,-2.87,0.6435835921869434,12.48,Other
397,Egfr,Nrg4,9.12,4.0958356894436235e-295,232,-3.34,0.1289957745468949,12.46,EGF
398,Ephb3,Efnb2,11.25,2.0608860973678798e-228,205,-1.2,6.4667057359368e-07,12.44,Other
399,Ephb6,Afdn,6.09,4.876176070134938e-66,285,-6.35,2.295930398484685e-110,12.44,Other
400,Robo1,Slit3,4.4,2.6698830350694064e-116,331,-8.0,4.255597967059493e-06,12.4,Other
401,Itga1,Sorbs1,5.01,0.0,314,-7.27,7.263027724949326e-16,12.28,Other
402,Ephb3,Efnb3,11.25,2.0608860973678798e-228,205,-1.0,0.9999344575108172,12.24,Other
403,Tlr6,Cd14,1.97,7.843259633889705e-08,457,-10.23,9.33005481645319e-11,12.2,Other
404,Itga2,Lamc2,0.74,5.542923091695777e-05,569,-11.44,2.9664651117450787e-16,12.17,Other
405,Notch3,Dll4,5.47,1.5999027198372099e-232,306,-6.67,0.1043105938077293,12.13,Notch
406,Fgfr2,Fgf1,4.81,3.73174473733275e-33,319,-7.3,0.0001591980573015,12.11,FGF
407,Nectin2,Cd226,11.86,0.0,203,-0.2,0.9999344575108172,12.06,Other
408,Ephb6,Efna1,6.09,4.876176070134938e-66,285,-5.8,8.936455050643615e-10,11.89,Other
409,Itgb3,Fgf1,4.57,4.016441041116983e-40,322,-7.3,0.0001591980573015,11.88,Other
410,Egfr,Tgfa,9.12,4.0958356894436235e-295,232,-2.65,0.000226413419789,11.77,EGF
411,Ephb2,L1cam,10.12,7.016598977006612e-151,218,-1.49,0.9999344575108172,11.6,Other
412,Ager,S100a8,0.97,0.0103963860117124,539,-10.6,0.9999344575108172,11.57,Other
413,Notch4,Psen1,1.47,1.1539854676177063e-28,498,-10.1,3.2887149946609237e-39,11.57,Notch
414,Itgb3,Vwf,4.57,4.016441041116983e-40,322,-6.97,0.8798789626748351,11.54,Other
415,Egfr,Cdh1,9.12,4.0958356894436235e-295,232,-2.41,0.8564981785505362,11.53,EGF
416,Nrp2,Sema3g,9.63,6.096977135244711e-269,222,-1.75,0.9999344575108172,11.37,Semaphorin/VEGF
417,Tgfbr1,Mstn,8.33,2.083355141854166e-256,239,-3.03,0.9999344575108172,11.36,TGF-β
418,Itgb3,Tgfb1,4.57,4.016441041116983e-40,322,-6.73,1.906931661343303e-127,11.31,Other
419,Ephb2,Efnb2,10.12,7.016598977006612e-151,218,-1.2,6.4667057359368e-07,11.31,Other
420,Itga11,Col20a1,9.61,4.2401322936066e-209,223,-1.62,0.9999344575108172,11.23,Other
421,Itga11,Col6a5,9.61,4.2401322936066e-209,223,-1.61,0.0085987448643522,11.22,Other
422,Bmpr1a,Gdf9,9.56,0.0,225,-1.58,0.6094416300484687,11.14,BMP
423,Epha3,Efna1,5.34,2.4840546873111232e-42,307,-5.8,8.936455050643615e-10,11.14,Other
424,Ephb2,Efnb3,10.12,7.016598977006612e-151,218,-1.0,0.9999344575108172,11.11,Other
425,Bmpr1a,Bmp5,9.56,0.0,225,-1.51,0.9999344575108172,11.08,BMP
426,Itga11,Col17a1,9.61,4.2401322936066e-209,223,-1.47,0.9999344575108172,11.08,Other
427,Notch1,Dll4,4.4,2.465241393848366e-183,332,-6.67,0.1043105938077293,11.06,Notch
428,Itgb3,Adam15,4.57,4.016441041116983e-40,322,-6.47,3.0697509065815005e-157,11.04,Other
429,Egfr,Btc,9.12,4.0958356894436235e-295,232,-1.9,0.706331046233259,11.02,EGF
430,Ptprd,Ntrk3,5.71,1.2013604120514077e-152,298,-5.32,0.0003165313022576,11.02,Other
431,Notch1,Cntn1,4.4,2.465241393848366e-183,332,-6.61,1.697398706940728e-07,11.01,Notch
432,Il1r2,Il1b,4.64,1.7244787871398567e-54,321,-6.31,0.9999344575108172,10.94,Other
433,Tgfbr1,Gnb3,8.33,2.083355141854166e-256,239,-2.59,0.9999344575108172,10.92,TGF-β
434,Fzd6,Wnt9a,4.0,1.2058569772357722e-55,351,-6.91,0.0003557073971754,10.91,Wnt
435,Bmpr1a,Amh,9.56,0.0,225,-1.28,0.9999344575108172,10.84,BMP
436,Adgrl2,Tenm4,9.46,1.4765941406743253e-239,226,-1.37,0.9999344575108172,10.83,Other
437,Fzd1,Wnt7b,9.44,1.257713597114739e-277,227,-1.19,0.9999344575108172,10.63,Wnt
438,Adora2b,Entpd1,5.66,1.388074797441778e-109,300,-4.95,0.0018850603551745,10.61,Other
439,Egfr,L1cam,9.12,4.0958356894436235e-295,232,-1.49,0.9999344575108172,10.61,EGF
440,Fzd1,Wnt3,9.44,1.257713597114739e-277,227,-1.15,0.9999344575108172,10.59,Wnt
441,Fgfr2,Fgf13,4.81,3.73174473733275e-33,319,-5.7,0.0007838626517363,10.51,FGF
442,Mtnr1a,Rln3,6.81,0.0002077081737489,266,-3.7,0.9999344575108172,10.5,Other
443,Fzd1,Wnt8b,9.44,1.257713597114739e-277,227,-0.98,0.9999344575108172,10.42,Wnt
444,Itga11,Col13a1,9.61,4.2401322936066e-209,223,-0.81,0.9999344575108172,10.42,Other
445,Bmpr1a,Gdf1,9.56,0.0,225,-0.85,0.1969501989070297,10.41,BMP
446,Nrp2,Sema4f,9.63,6.096977135244711e-269,222,-0.77,0.9999344575108172,10.4,Semaphorin/VEGF
447,Egfr,Amh,9.12,4.0958356894436235e-295,232,-1.28,0.9999344575108172,10.4,EGF
448,Nrp2,Sema3f,9.63,6.096977135244711e-269,222,-0.76,0.9999344575108172,10.38,Semaphorin/VEGF
449,Tgfbr1,Cgn,8.33,2.083355141854166e-256,239,-1.94,0.0029922542935244,10.27,TGF-β
450,Mtnr1a,Ppbp,6.81,0.0002077081737489,266,-3.42,0.9999344575108172,10.23,Other
451,Fzd3,Wnt9a,3.23,1.3344254210450407e-31,383,-6.91,0.0003557073971754,10.14,Wnt
452,Lrp8,Lrpap1,1.57,0.0003558416023579,489,-8.48,1.770878083779837e-41,10.05,Other
453,Egfr,Lrig2,9.12,4.0958356894436235e-295,232,-0.92,3.9287126419396416e-18,10.04,EGF
454,Fzd1,Wnt2b,9.44,1.257713597114739e-277,227,-0.56,0.9999344575108172,10.0,Wnt
455,Bmpr1a,Bmp8a,9.56,0.0,225,-0.41,0.9999344575108172,9.97,BMP
456,Fgfr2,Fgf10,4.81,3.73174473733275e-33,319,-5.09,0.0017681320321255,9.91,FGF
457,Tgfbr1,Gdf9,8.33,2.083355141854166e-256,239,-1.58,0.6094416300484687,9.91,TGF-β
458,Bmpr1a,Gdf5,9.56,0.0,225,-0.32,0.9999344575108172,9.88,BMP
459,Mtnr1a,Saa1,6.81,0.0002077081737489,266,-2.94,0.5987423979591282,9.75,Other
460,Itga2b,Vwf,2.76,1.2061150095481729e-49,412,-6.97,0.8798789626748351,9.73,Other
461,Il6st,Osm,5.93,5.237849615188786e-175,290,-3.79,0.9999344575108172,9.71,Other
462,Bmpr1a,Bmp3,9.56,0.0,225,-0.13,0.9999344575108172,9.69,BMP
463,Fgfr2,Fgf7,4.81,3.73174473733275e-33,319,-4.87,1.4766889235174525e-21,9.68,FGF
464,Notch3,Scgb3a1,5.47,1.5999027198372099e-232,306,-4.2,0.9999344575108172,9.67,Notch
465,Fgfr2,Fgf20,4.81,3.73174473733275e-33,319,-4.77,0.9999344575108172,9.58,FGF
466,Plxna2,Sema6a,1.98,1.5185690211947174e-62,454,-7.57,0.0035852837913039,9.55,Semaphorin
467,Il1rap,Il1b,3.16,4.50322128843288e-84,391,-6.31,0.9999344575108172,9.47,Other
468,Egfr,Camp,9.12,4.0958356894436235e-295,232,-0.35,0.1982962855078417,9.47,EGF
469,Egfr,Cntf,9.12,4.0958356894436235e-295,232,-0.31,0.9999344575108172,9.43,EGF
470,Notch1,Mfng,4.4,2.465241393848366e-183,332,-5.04,0.2870977366995788,9.43,Notch
471,Jmjd6,Ptdss1,3.11,1.1972708243731745e-255,394,-6.26,1.1457601972507822e-75,9.37,Other
472,Fgfr2,Fgf16,4.81,3.73174473733275e-33,319,-4.56,0.0001095520986479,9.37,FGF
473,Robo2,Slit3,1.37,5.5856272324397943e-08,503,-8.0,4.255597967059493e-06,9.37,Other
474,Tnfrsf11b,Tnfsf13,6.09,2.0295204175847104e-159,284,-3.27,1.870515367649137e-07,9.37,Other
475,Fzd9,Wnt9a,2.38,4.723243205884783e-09,425,-6.91,0.0003557073971754,9.29,Other
476,Ager,S100a9,0.97,0.0103963860117124,539,-8.3,0.9999344575108172,9.27,Other
477,Egfr,Epgn,9.12,4.0958356894436235e-295,232,-0.13,0.9999344575108172,9.25,EGF
478,Mtnr1a,Npy,6.81,0.0002077081737489,266,-2.39,0.9999344575108172,9.19,Other
479,Gabre,Slc6a6,6.1,2.440382516605522e-84,282,-3.05,7.545883157977278e-274,9.15,Other
480,Mtnr1a,Apln,6.81,0.0002077081737489,266,-2.14,0.0788548523282565,8.95,Other
481,Gabre,Gad1,6.1,2.440382516605522e-84,282,-2.8,0.9999344575108172,8.9,Other
482,Lrp5,Wnt9a,1.94,3.6244646582270682e-109,460,-6.91,0.0003557073971754,8.85,Wnt
483,Efna4,Epha8,6.67,3.2992237821698993e-97,271,-2.12,0.9999344575108172,8.79,Other
484,Tgfbr1,Bmp8a,8.33,2.083355141854166e-256,239,-0.41,0.9999344575108172,8.73,TGF-β
485,Grin2d,Il16,1.82,1.070781992248783e-09,473,-6.91,3.2786146366201797e-11,8.73,Other
486,Fgfr2,Fgf2,4.81,3.73174473733275e-33,319,-3.87,3.610811962636146e-46,8.69,FGF
487,Gabre,Slc6a12,6.1,2.440382516605522e-84,282,-2.48,0.8483372832819187,8.58,Other
488,Efna4,Epha4,6.67,3.2992237821698993e-97,271,-1.83,3.577529747013719e-20,8.5,Other
489,Ror2,Wnt3,7.32,8.138353348528051e-149,259,-1.15,0.9999344575108172,8.46,Wnt
490,Itgb3,Fgf2,4.57,4.016441041116983e-40,322,-3.87,3.610811962636146e-46,8.45,Other
491,Itga1,Col19a1,5.01,0.0,314,-3.42,0.9999344575108172,8.43,Other
492,Mtnr1a,Cxcl1,6.81,0.0002077081737489,266,-1.6,0.0957619923749561,8.4,Other
493,Fgfr2,Fgf6,4.81,3.73174473733275e-33,319,-3.58,0.9999344575108172,8.39,FGF
494,Adora2b,Nt5e,5.66,1.388074797441778e-109,300,-2.69,0.9999344575108172,8.35,Other
495,Notch3,Jag2,5.47,1.5999027198372099e-232,306,-2.85,0.6428605861267959,8.32,Notch
496,Gabre,Slc6a13,6.1,2.440382516605522e-84,282,-2.14,0.6566265405761051,8.25,Other
497,Il6st,Ebi3,5.93,5.237849615188786e-175,290,-2.3,0.9999344575108172,8.23,Other
498,Notch3,Dll1,5.47,1.5999027198372099e-232,306,-2.72,0.9293362278518458,8.19,Notch
499,Tnfrsf11b,Tnfsf10,6.09,2.0295204175847104e-159,284,-2.1,0.9999344575108172,8.19,Other
500,Eda2r,Eda,1.64,5.757883970685043e-13,487,-6.54,0.1962421304050541,8.19,Other
501,Mtnr1a,Gal,6.81,0.0002077081737489,266,-1.33,0.9702075181830802,8.14,Other
502,Notch4,Dll4,1.47,1.1539854676177063e-28,498,-6.67,0.1043105938077293,8.13,Notch
503,Cspg4,Fgf1,0.76,2.678260981744811e-56,563,-7.3,0.0001591980573015,8.07,Other
504,Ptprd,Lrrc4b,5.71,1.2013604120514077e-152,298,-2.34,0.9999344575108172,8.05,Other
505,Il6st,Il27,5.93,5.237849615188786e-175,290,-2.11,0.9999344575108172,8.04,Other
506,Gabra3,Slc6a6,4.97,2.609267382640543e-136,315,-3.05,7.545883157977278e-274,8.02,Other
507,Efna4,Epha2,6.67,3.2992237821698993e-97,271,-1.34,0.4980025808703578,8.01,Other
508,Epha1,Efna1,2.2,6.017992703838776e-14,439,-5.8,8.936455050643615e-10,8.0,Other
509,Gja1,Gja3,4.1,4.694410905954213e-107,344,-3.88,0.9999344575108172,7.99,Other
510,Ptger1,Ptges,0.82,0.0018987445418851,554,-7.12,0.5297818972963418,7.93,Other
511,Vegfc,Flt4,5.6,2.3569733497203392e-263,303,-2.33,0.2278658338388696,7.93,Other
512,Itga1,Col4a6,5.01,0.0,314,-2.87,0.6435835921869434,7.88,Other
513,Insr,Sorbs1,0.6,8.088641315405144e-42,580,-7.27,7.263027724949326e-16,7.86,Other
514,Gabra3,Gad1,4.97,2.609267382640543e-136,315,-2.8,0.9999344575108172,7.77,Other
515,Mtnr1a,Ccl28,6.81,0.0002077081737489,266,-0.97,0.9999344575108172,7.77,Other
516,Fgfr2,Fgf8,4.81,3.73174473733275e-33,319,-2.93,0.9999344575108172,7.74,FGF
517,Mtnr1a,Npb,6.81,0.0002077081737489,266,-0.91,0.9999344575108172,7.71,Other
518,Pvr,Tnfsf9,1.16,2.126155443121877e-44,520,-6.49,0.3648907334230782,7.65,Other
519,Ror2,Gdf5,7.32,8.138353348528051e-149,259,-0.32,0.9999344575108172,7.63,Wnt
520,Ptprd,Slitrk1,5.71,1.2013604120514077e-152,298,-1.84,0.9999344575108172,7.55,Other
521,Fzd6,Wnt6,4.0,1.2058569772357722e-55,351,-3.46,0.4068476482136856,7.46,Wnt
522,Gabra3,Slc6a12,4.97,2.609267382640543e-136,315,-2.48,0.8483372832819187,7.45,Other
523,Gabre,Gad2,6.1,2.440382516605522e-84,282,-1.28,0.9999344575108172,7.39,Other
524,Mtnr1a,Cxcl3,6.81,0.0002077081737489,266,-0.58,0.9999344575108172,7.39,Other
525,Fzd6,Wnt5b,4.0,1.2058569772357722e-55,351,-3.35,0.0016820139074368,7.35,Wnt
526,Itgb3,Itgb3bp,4.57,4.016441041116983e-40,322,-2.74,1.5168218834789676e-132,7.31,Other
527,Ephb6,Efnb2,6.09,4.876176070134938e-66,285,-1.2,6.4667057359368e-07,7.29,Other
528,Shank1,Abca1,0.95,0.0001542068175969,540,-6.33,3.878746959302661e-10,7.29,Other
529,Notch1,Jag2,4.4,2.465241393848366e-183,332,-2.85,0.6428605861267959,7.24,Notch
530,Epha3,Efna2,5.34,2.4840546873111232e-42,307,-1.9,2.2192741468734434e-18,7.24,Other
531,Il1r2,Il1a,4.64,1.7244787871398567e-54,321,-2.54,0.9999344575108172,7.18,Other
532,Notch1,Dll1,4.4,2.465241393848366e-183,332,-2.72,0.9293362278518458,7.12,Notch
533,Itgb3,Icam4,4.57,4.016441041116983e-40,322,-2.55,0.6248582932068679,7.12,Other
534,Mtnr1a,Insl5,6.81,0.0002077081737489,266,-0.31,0.9999344575108172,7.11,Other
535,Gabra3,Slc6a13,4.97,2.609267382640543e-136,315,-2.14,0.6566265405761051,7.11,Other
536,Ephb6,Efnb3,6.09,4.876176070134938e-66,285,-1.0,0.9999344575108172,7.09,Other
537,Adora2b,Slc29a2,5.66,1.388074797441778e-109,300,-1.41,0.9999344575108172,7.07,Other
538,Mtnr1a,Pomc,6.81,0.0002077081737489,266,-0.2,3.552012021589363e-06,7.01,Other
539,Ptprd,Nlgn3,5.71,1.2013604120514077e-152,298,-1.28,0.1919304962516763,6.99,Other
540,Tnfrsf10b,Tnfsf10,4.88,3.235936622173793e-65,317,-2.1,0.9999344575108172,6.97,Other
541,Cd80,Cd274,4.24,9.106379873664184e-51,338,-2.56,0.983008971060292,6.8,Other
542,Fzd3,Wnt6,3.23,1.3344254210450407e-31,383,-3.46,0.4068476482136856,6.7,Wnt
543,Adora2b,Slc29a4,5.66,1.388074797441778e-109,300,-0.99,0.9999344575108172,6.65,Other
544,Itga1,Col20a1,5.01,0.0,314,-1.62,0.9999344575108172,6.63,Other
545,Itga1,Col6a5,5.01,0.0,314,-1.61,0.0085987448643522,6.63,Other
546,Cd80,Cd28,4.24,9.106379873664184e-51,338,-2.31,0.8902789787748484,6.55,Other
547,Epha3,Efnb2,5.34,2.4840546873111232e-42,307,-1.2,6.4667057359368e-07,6.53,Other
548,Cd80,Ctla4,4.24,9.106379873664184e-51,338,-2.26,0.9999344575108172,6.5,Other
549,Itga1,Col17a1,5.01,0.0,314,-1.47,0.9999344575108172,6.48,Other
550,Fgfr2,L1cam,4.81,3.73174473733275e-33,319,-1.49,0.9999344575108172,6.3,FGF
551,Gabra3,Gad2,4.97,2.609267382640543e-136,315,-1.28,0.9999344575108172,6.25,Other
552,Il6st,Cntf,5.93,5.237849615188786e-175,290,-0.31,0.9999344575108172,6.23,Other
553,Tfrc,Tnfsf13b,0.23,0.0007962204290842,603,-5.99,0.0088302323681104,6.22,Other
554,Il1r2,Il1rn,4.64,1.7244787871398567e-54,321,-1.56,0.9999344575108172,6.2,Other
555,Notch3,Dlk1,5.47,1.5999027198372099e-232,306,-0.72,0.9999344575108172,6.19,Notch
556,Notch3,Dll3,5.47,1.5999027198372099e-232,306,-0.7,0.9999344575108172,6.17,Notch
557,Lrp5,Sostdc1,1.94,3.6244646582270682e-109,460,-4.2,0.9999344575108172,6.14,Wnt
558,Notch1,Tnf,4.4,2.465241393848366e-183,332,-1.72,0.9999344575108172,6.12,Notch
559,Itgb3,L1cam,4.57,4.016441041116983e-40,322,-1.49,0.9999344575108172,6.06,Other
560,Fgfr2,Fgf23,4.81,3.73174473733275e-33,319,-1.24,0.9999344575108172,6.05,FGF
561,Itgb3,Angptl3,4.57,4.016441041116983e-40,322,-1.39,0.9999344575108172,5.96,Other
562,Fgfr2,Fgf21,4.81,3.73174473733275e-33,319,-1.08,0.6995179118425758,5.89,FGF
563,Fgfr2,Fgf12,4.81,3.73174473733275e-33,319,-1.04,0.9999344575108172,5.85,FGF
564,Fzd9,Wnt6,2.38,4.723243205884783e-09,425,-3.46,0.4068476482136856,5.84,Other
565,Fgfr2,Fgf5,4.81,3.73174473733275e-33,319,-1.02,0.9999344575108172,5.83,FGF
566,Itga1,Col13a1,5.01,0.0,314,-0.81,0.9999344575108172,5.82,Other
567,Notch1,Cntn6,4.4,2.465241393848366e-183,332,-1.42,0.9999344575108172,5.82,Notch
568,Fzd9,Wnt5b,2.38,4.723243205884783e-09,425,-3.35,0.0016820139074368,5.73,Other
569,Il1rap,Il1a,3.16,4.50322128843288e-84,391,-2.54,0.9999344575108172,5.7,Other
570,Wnt16,Sfrp5,1.96,2.9621789996501186e-05,458,-3.73,0.9999344575108172,5.69,Other
571,Tnfsf8,Tnfrsf8,5.01,0.0002492143866758,313,-0.52,0.9999344575108172,5.53,Other
572,Grin2d,Slc1a1,1.82,1.070781992248783e-09,473,-3.67,0.9999344575108172,5.49,Other
573,Bmpr1b,Bmp7,2.35,0.0010098620916556,430,-3.08,0.0094799096604423,5.43,BMP
574,Lrp5,Wnt6,1.94,3.6244646582270682e-109,460,-3.46,0.4068476482136856,5.4,Wnt
575,Ptger1,Ptges2,0.82,0.0018987445418851,554,-4.54,4.118909215495848e-72,5.35,Other
576,Plxna1,Sema3f,4.56,2.3940792622217255e-94,324,-0.76,0.9999344575108172,5.31,Semaphorin
577,Itga2b,Icam4,2.76,1.2061150095481729e-49,412,-2.55,0.6248582932068679,5.31,Other
578,Plaur,Mmp12,3.18,1.7395688016444874e-74,389,-2.13,0.9999344575108172,5.31,Other
579,Lrp5,Wnt5b,1.94,3.6244646582270682e-109,460,-3.35,0.0016820139074368,5.29,Wnt
580,Rtn4r,Lgi1,3.84,7.203152040281298e-11,357,-1.39,0.9999344575108172,5.23,Other
581,Itgb3,Dmp1,4.57,4.016441041116983e-40,322,-0.62,0.9999344575108172,5.2,Other
582,Fzd6,Wnt7b,4.0,1.2058569772357722e-55,351,-1.19,0.9999344575108172,5.19,Wnt
583,Ripk1,Tnfsf10,3.07,3.5176668232525794e-209,396,-2.1,0.9999344575108172,5.17,Other
584,Acvr2a,Bmp7,2.08,1.3580638240402423e-37,448,-3.08,0.0094799096604423,5.16,Activin
585,Fzd6,Wnt3,4.0,1.2058569772357722e-55,351,-1.15,0.9999344575108172,5.15,Wnt
586,Acvr2a,Nodal,2.08,1.3580638240402423e-37,448,-3.04,0.9999344575108172,5.12,Activin
587,Notch1,Dlk1,4.4,2.465241393848366e-183,332,-0.72,0.9999344575108172,5.12,Notch
588,Efna5,Epha8,2.98,3.670463122630095e-180,403,-2.12,0.9999344575108172,5.11,Other
589,Acvr2a,Mstn,2.08,1.3580638240402423e-37,448,-3.03,0.9999344575108172,5.11,Activin
590,Notch1,Dll3,4.4,2.465241393848366e-183,332,-0.7,0.9999344575108172,5.1,Notch
591,Fgf9,Fgfr3,4.0,5.2039980815914484e-20,350,-1.07,0.4775686440959273,5.07,Other
592,Plxnb1,Sema4d,1.68,6.050576944964506e-06,483,-3.38,0.1466476177321936,5.07,Semaphorin
593,Ptprm,Cdh1,2.62,7.138513277076377e-115,418,-2.41,0.8564981785505362,5.03,Other
594,Fzd6,Wnt8b,4.0,1.2058569772357722e-55,351,-0.98,0.9999344575108172,4.98,Wnt
595,Plaur,Plg,3.18,1.7395688016444874e-74,389,-1.72,0.9999344575108172,4.89,Other
596,Efna5,Epha4,2.98,3.670463122630095e-180,403,-1.83,3.577529747013719e-20,4.81,Other
597,Ripk1,Tnf,3.07,3.5176668232525794e-209,396,-1.72,0.9999344575108172,4.8,Other
598,Il1rl2,Il1rn,3.2,1.3872751101272303e-78,388,-1.56,0.9999344575108172,4.76,Other
599,Sema7a,Plxnc1,1.88,6.535094207145061e-23,467,-2.87,5.283132780134155e-05,4.75,Other
600,Erbb2,Sema4d,1.35,5.271955588076474e-42,505,-3.38,0.1466476177321936,4.73,EGF
601,Il1rap,Il1rn,3.16,4.50322128843288e-84,391,-1.56,0.9999344575108172,4.72,Other
602,Erbb2,Nrg4,1.35,5.271955588076474e-42,505,-3.34,0.1289957745468949,4.69,EGF
603,Plxna2,Sema6b,1.98,1.5185690211947174e-62,454,-2.65,0.8851635850997672,4.63,Semaphorin
604,Gfra2,Nrtn,0.02,2.3437926125731184e-21,620,-4.6,0.0907259167041479,4.61,Other
605,Plaur,Lrp1b,3.18,1.7395688016444874e-74,389,-1.43,0.9999344575108172,4.61,Other
