rank,receptor,ligand,receptor_logfc,receptor_padj,receptor_rank_among_receptors,ligand_logfc,ligand_padj,mismatch_score,pathway
133,Ryk,Wnt3,66.48,0.0,38,-1.15,0.9999344575108172,67.63,Wnt
134,Igf2r,Plg,65.7,0.0,39,-1.72,0.9999344575108172,67.42,IGF
135,Adgrl1,Nrxn2,21.67,0.0,119,-45.37,5.015962805798245e-265,67.04,Other
136,Itga1,Col15a1,5.01,0.0,314,-61.72,1.4042821948963063e-68,66.73,Other
137,Gnai2,Drd2,62.15,0.0,43,-3.79,0.9999344575108172,65.94,Other
138,Igf2r,Igf2,65.7,0.0,39,-0.2,0.0176981039462366,65.9,IGF
139,Igf2r,Plau,65.7,0.0,39,-0.07,0.0415923523155702,65.77,IGF
140,Cd44,Madcam1,65.3,0.0,40,-0.18,0.9999344575108172,65.47,Other
141,Mrc2,Cer1,64.0,0.0,42,-0.85,0.9999344575108172,64.85,Other
142,Fzd2,Wnt6,60.95,0.0,44,-3.46,0.4068476482136856,64.41,Wnt
143,Fzd2,Wnt5b,60.95,0.0,44,-3.35,0.0016820139074368,64.3,Wnt
144,Gnai2,Oprd1,62.15,0.0,43,-2.13,0.9999344575108172,64.29,Other
145,Nrp2,Sema3c,9.63,6.096977135244711e-269,222,-54.6,3.3543069247321523e-252,64.23,Semaphorin/VEGF
146,Gnai2,Adra2b,62.15,0.0,43,-1.92,0.9999344575108172,64.08,Other
147,Mrc2,Plau,64.0,0.0,42,-0.07,0.0415923523155702,64.07,Other
148,Itga1,Col4a4,5.01,0.0,314,-58.58,0.0,63.59,Other
149,Itgb3,Col4a4,4.57,4.016441041116983e-40,322,-58.58,0.0,63.15,Other
150,Itgb3,Nid1,4.57,4.016441041116983e-40,322,-58.13,0.9999344575108172,62.7,Other
151,Itga2,Col15a1,0.74,5.542923091695777e-05,569,-61.72,1.4042821948963063e-68,62.45,Other
152,Fzd2,Wnt7b,60.95,0.0,44,-1.19,0.9999344575108172,62.14,Wnt
153,Fzd2,Wnt3,60.95,0.0,44,-1.15,0.9999344575108172,62.1,Wnt
154,Fzd2,Wnt8b,60.95,0.0,44,-0.98,0.9999344575108172,61.93,Wnt
155,Fzd2,Wnt2b,60.95,0.0,44,-0.56,0.9999344575108172,61.51,Wnt
156,Itga2,Col4a4,0.74,5.542923091695777e-05,569,-58.58,0.0,59.31,Other
157,Itgav,Fndc5,50.48,0.0,52,-8.57,0.0006782229581769,59.04,Other
158,Itgav,Fgf1,50.48,0.0,52,-7.3,0.0001591980573015,57.78,Other
159,Itgav,Vwf,50.48,0.0,52,-6.97,0.8798789626748351,57.44,Other
160,Sdc1,Fgf2,53.42,0.0,50,-3.87,3.610811962636146e-46,57.3,Other
161,Itgav,Tgfb1,50.48,0.0,52,-6.73,1.906931661343303e-127,57.21,Other
162,Itgav,Pdgfb,50.48,0.0,52,-6.46,0.0143866398374726,56.94,Other
163,Itgav,Adam15,50.48,0.0,52,-6.47,3.0697509065815005e-157,56.94,Other
164,Sdc1,Lama5,53.42,0.0,50,-1.16,0.0735873093086007,54.59,Other
165,Itgav,Fgf2,50.48,0.0,52,-3.87,3.610811962636146e-46,54.35,Other
166,Itgav,Col4a6,50.48,0.0,52,-2.87,0.6435835921869434,53.35,Other
167,Itgav,Icam4,50.48,0.0,52,-2.55,0.6248582932068679,53.02,Other
168,Angpt2,Tek,4.39,2.289026723004711e-38,333,-47.81,1.5690321748818382e-166,52.2,Other
169,Plxnb2,Ang,18.9,0.0,135,-33.16,3.0999152138928362e-21,52.06,Semaphorin
170,Itgav,L1cam,50.48,0.0,52,-1.49,0.9999344575108172,51.96,Other
171,Itgav,Angptl3,50.48,0.0,52,-1.39,0.9999344575108172,51.86,Other
172,Fgfrl1,Fgf1,43.27,0.0,63,-7.3,0.0001591980573015,50.57,FGF
173,Itgav,Plau,50.48,0.0,52,-0.07,0.0415923523155702,50.55,Other
174,Egfr,Calm3,9.12,4.0958356894436235e-295,232,-40.28,9.54512627313194e-16,49.4,EGF
175,Neo1,Ntn3,49.09,0.0,55,-0.06,0.0096173053737571,49.15,Other
176,Bmpr2,Rgma,15.12,0.0,161,-33.87,1.176836588239294e-32,48.99,BMP
177,Fgfrl1,Fgf10,43.27,0.0,63,-5.09,0.0017681320321255,48.36,FGF
178,Fgfrl1,Fgf2,43.27,0.0,63,-3.87,3.610811962636146e-46,47.14,FGF
179,Mtnr1a,Cxcl13,6.81,0.0002077081737489,266,-39.5,0.9999344575108172,46.3,Other
180,Fgfrl1,Fgf8,43.27,0.0,63,-2.93,0.9999344575108172,46.19,FGF
181,Antxr1,Wnt5a,34.72,0.0,80,-10.99,0.1652932478745672,45.71,Other
182,Egfr,S100a4,9.12,4.0958356894436235e-295,232,-35.85,0.831628635453512,44.97,EGF
183,Nrg1,Erbb3,44.12,0.0,61,-0.74,0.9999344575108172,44.86,Other
184,Itgb3,Mmp2,4.57,4.016441041116983e-40,322,-39.23,0.1529247274668717,43.8,Other
185,Epha7,Wnt5a,31.96,0.0,87,-10.99,0.1652932478745672,42.95,Other
186,Acvr1,Bmp6,21.96,0.0,116,-20.73,3.4077937903842886e-20,42.69,BMP/Activin
187,Egfr,Ang,9.12,4.0958356894436235e-295,232,-33.16,3.0999152138928362e-21,42.28,EGF
188,Il1r1,Il1b,35.64,0.0,78,-6.31,0.9999344575108172,41.94,Other
189,Fzd8,Rspo1,17.09,0.0,149,-24.78,1.0423220477571363e-55,41.87,Wnt
190,Crlf2,Tslp,22.12,0.0,114,-19.65,3.3514447846089325e-19,41.77,Other
191,Itga5,Cd40lg,17.47,8.270553119411679e-238,148,-23.84,0.9999344575108172,41.31,Other
192,Adora2b,Ntn1,5.66,1.388074797441778e-109,300,-35.44,2.2899630889175643e-151,41.1,Other
193,Insr,Calm3,0.6,8.088641315405144e-42,580,-40.28,9.54512627313194e-16,40.87,Other
194,Acvr2a,Lefty1,2.08,1.3580638240402423e-37,448,-37.94,3.739240252796196e-128,40.02,Activin
195,Acvr1b,Lefty1,1.05,4.245720121012983e-15,530,-37.94,3.739240252796196e-128,38.99,Activin
196,Epha7,Afdn,31.96,0.0,87,-6.35,2.295930398484685e-110,38.31,Other
197,Il1r1,Il1a,35.64,0.0,78,-2.54,0.9999344575108172,38.18,Other
198,Epha7,Efna1,31.96,0.0,87,-5.8,8.936455050643615e-10,37.76,Other
199,Lrp6,Rspo1,12.87,0.0,188,-24.78,1.0423220477571363e-55,37.65,Wnt
200,Acvr1,Inhbb,21.96,0.0,116,-15.34,1.109667392529749e-07,37.3,BMP/Activin
201,Erbb2,S100a4,1.35,5.271955588076474e-42,505,-35.85,0.831628635453512,37.2,EGF
202,Il1r1,Il1rn,35.64,0.0,78,-1.56,0.9999344575108172,37.2,Other
203,Cspg4,C1qa,0.76,2.678260981744811e-56,563,-36.25,0.9999344575108172,37.01,Other
204,Unc5c,Ntn1,1.56,5.919307609311444e-13,491,-35.44,2.2899630889175643e-151,37.0,Other
205,Egfr,Icam1,9.12,4.0958356894436235e-295,232,-27.13,7.270841286462939e-21,36.25,EGF
206,Bmpr1b,Rgma,2.35,0.0010098620916556,430,-33.87,1.176836588239294e-32,36.22,BMP
207,Vasn,Tgfb1,29.22,0.0,97,-6.73,1.906931661343303e-127,35.95,Other
208,Bmpr2,Bmp6,15.12,0.0,161,-20.73,3.4077937903842886e-20,35.85,BMP
209,Tfr2,Rgma,1.71,9.124536036040013e-22,481,-33.87,1.176836588239294e-32,35.58,Other
210,Acvr1,Bmp2,21.96,0.0,116,-12.8,1.2892853069774322e-31,34.76,BMP/Activin
211,Itga11,Col4a3,9.61,4.2401322936066e-209,223,-24.83,2.2243661695266457e-121,34.44,Other
212,Fzd8,Wnt4,17.09,0.0,149,-17.11,0.071157188045968,34.2,Wnt
213,Plxnb2,Sema4c,18.9,0.0,135,-15.07,3.8136898665436685e-05,33.96,Semaphorin
214,Epha7,Efna2,31.96,0.0,87,-1.9,2.2192741468734434e-18,33.86,Other
215,Fzd5,Wnt4,16.61,1.5136412228990692e-266,154,-17.11,0.071157188045968,33.71,Wnt
216,Vegfc,Kdr,5.6,2.3569733497203392e-263,303,-27.74,1.1151656034473205e-17,33.34,Other
217,Fas,Fadd,26.55,0.0,104,-6.3,0.0033563810061669,32.85,Other
218,Il13ra1,Il4,32.59,0.0,84,-0.07,0.9999344575108172,32.66,Other
219,Vasn,Jag2,29.22,0.0,97,-2.85,0.6428605861267959,32.07,Other
220,Bmpr1a,Bmp6,9.56,0.0,225,-20.73,3.4077937903842886e-20,30.29,BMP
221,Itga11,Col6a6,9.61,4.2401322936066e-209,223,-20.58,4.0597354457711256e-76,30.19,Other
222,Lrp6,Wnt4,12.87,0.0,188,-17.11,0.071157188045968,29.98,Wnt
223,Mtnr1a,Cxcl16,6.81,0.0002077081737489,266,-23.17,8.547376177490793e-60,29.98,Other
224,Itga1,Col4a3,5.01,0.0,314,-24.83,2.2243661695266457e-121,29.85,Other
225,Fas,Tnfsf13,26.55,0.0,104,-3.27,1.870515367649137e-07,29.82,Other
226,Vegfa,Kdr,1.87,1.4172372396912694e-65,468,-27.74,1.1151656034473205e-17,29.61,Other
227,Itgb3,Col4a3,4.57,4.016441041116983e-40,322,-24.83,2.2243661695266457e-121,29.41,Other
228,Acvr1,Tgfb1,21.96,0.0,116,-6.73,1.906931661343303e-127,28.69,BMP/Activin
229,Gria3,Slc1a1,24.91,0.0,108,-3.67,0.9999344575108172,28.58,Other
230,Mertk,Lgals3,0.87,6.052572826626081e-12,547,-27.59,5.184713161452946e-22,28.46,Other
231,Itgb3,Cd40lg,4.57,4.016441041116983e-40,322,-23.84,0.9999344575108172,28.42,Other
232,Fas,Tnf,26.55,0.0,104,-1.72,0.9999344575108172,28.27,Other
233,F2r,Plg,26.41,0.0,105,-1.72,0.9999344575108172,28.13,Other
234,Fzd8,Wnt5a,17.09,0.0,149,-10.99,0.1652932478745672,28.08,Wnt
235,Bmpr2,Bmp2,15.12,0.0,161,-12.8,1.2892853069774322e-31,27.92,BMP
236,Il2rg,Icam1,0.68,8.341877120318331e-15,576,-27.13,7.270841286462939e-21,27.8,Other
237,Smo,Wnt4,10.55,0.0,214,-17.11,0.071157188045968,27.65,Other
238,Fzd5,Wnt5a,16.61,1.5136412228990692e-266,154,-10.99,0.1652932478745672,27.6,Wnt
239,F2r,F2,26.41,0.0,105,-1.0,0.9999344575108172,27.41,Other
240,Adgrl1,Tenm1,21.67,0.0,119,-5.69,0.9999344575108172,27.35,Other
241,Lgr6,Rspo1,1.93,0.0217249594200328,462,-24.78,1.0423220477571363e-55,26.71,Other
242,Efnb1,Ephb1,24.02,0.0,111,-2.64,0.4250770134838904,26.67,Other
243,Itga2b,Cd40lg,2.76,1.2061150095481729e-49,412,-23.84,0.9999344575108172,26.61,Other
244,Fzd1,Wnt4,9.44,1.257713597114739e-277,227,-17.11,0.071157188045968,26.55,Wnt
245,Gria3,Slc17a8,24.91,0.0,108,-1.48,0.9999344575108172,26.39,Other
246,Efnb1,Ephb4,24.02,0.0,111,-2.14,7.992185903167074e-42,26.16,Other
247,Gria3,Slc1a2,24.91,0.0,108,-1.21,0.9999344575108172,26.11,Other
248,Traf3,Cd40lg,2.13,1.3061454626257148e-60,446,-23.84,0.9999344575108172,25.98,Other
249,Efnb1,Epha4,24.02,0.0,111,-1.83,3.577529747013719e-20,25.85,Other
250,Gria3,Slc17a7,24.91,0.0,108,-0.76,0.9999344575108172,25.67,Other
251,Insr,Arf1,0.6,8.088641315405144e-42,580,-25.04,0.0082049472283497,25.63,Other
252,Itga1,Col6a6,5.01,0.0,314,-20.58,4.0597354457711256e-76,25.6,Other
253,Itga2,Col4a3,0.74,5.542923091695777e-05,569,-24.83,2.2243661695266457e-121,25.57,Other
254,Adgrl1,Nrxn1,21.67,0.0,119,-3.79,0.9999344575108172,25.46,Other
255,Adgrl1,Tenm2,21.67,0.0,119,-3.75,0.9999344575108172,25.42,Other
256,Mtnr1a,Pf4,6.81,0.0002077081737489,266,-18.25,0.4852182034372547,25.05,Other
257,Acvr1,Bmp7,21.96,0.0,116,-3.08,0.0094799096604423,25.04,BMP/Activin
258,Adgrl1,Flrt2,21.67,0.0,119,-3.14,1.2381966191733554e-132,24.81,Other
259,Rxrb,Aldh1a2,3.97,1.1647106152501341e-185,352,-20.44,0.9999344575108172,24.41,Other
260,Vegfb,Flt1,2.22,8.85424750838942e-306,437,-22.16,0.1530231643085967,24.38,Other
261,Mtnr1a,Hebp1,6.81,0.0002077081737489,266,-17.47,1.3408779131801735e-17,24.27,Other
262,Pth1r,Pthlh,20.15,0.0,128,-3.97,0.1597397348851348,24.12,Other
263,Vegfa,Flt1,1.87,1.4172372396912694e-65,468,-22.16,0.1530231643085967,24.03,Other
264,Ptprf,Ntrk3,18.68,0.0,138,-5.32,0.0003165313022576,24.0,Other
265,Fzd8,Wnt9a,17.09,0.0,149,-6.91,0.0003557073971754,24.0,Wnt
266,Itga5,Adam15,17.47,8.270553119411679e-238,148,-6.47,3.0697509065815005e-157,23.94,Other
267,Lrp6,Wnt5a,12.87,0.0,188,-10.99,0.1652932478745672,23.86,Wnt
268,Pth1r,Rln3,20.15,0.0,128,-3.7,0.9999344575108172,23.84,Other
269,Fzd5,Wnt9a,16.61,1.5136412228990692e-266,154,-6.91,0.0003557073971754,23.52,Wnt
270,Acvr1,Bmp5,21.96,0.0,116,-1.51,0.9999344575108172,23.47,BMP/Activin
271,Acvr1,Gdf2,21.96,0.0,116,-1.49,0.9210310316380188,23.45,BMP/Activin
272,Smo,Bmp2,10.55,0.0,214,-12.8,1.2892853069774322e-31,23.34,Other
273,Acvr1,Amh,21.96,0.0,116,-1.28,0.9999344575108172,23.24,BMP/Activin
274,Pth1r,Calca,20.15,0.0,128,-2.96,0.446792779867413,23.11,Other
275,Bmpr1b,Bmp6,2.35,0.0010098620916556,430,-20.73,3.4077937903842886e-20,23.08,BMP
276,Fgfr2,Pf4,4.81,3.73174473733275e-33,319,-18.25,0.4852182034372547,23.06,FGF
277,Adgrl1,Tenm4,21.67,0.0,119,-1.37,0.9999344575108172,23.03,Other
278,Dcbld2,Sema4b,22.02,0.0,115,-0.97,0.0976832624336102,22.99,Other
279,Itgb3,Thy1,4.57,4.016441041116983e-40,322,-18.34,3.036990005579914e-76,22.91,Other
280,Adgrl1,Nrxn3,21.67,0.0,119,-1.17,0.9999344575108172,22.84,Other
281,Adgrl1,Flrt1,21.67,0.0,119,-1.16,0.5388094315493843,22.82,Other
282,Acvr2a,Bmp6,2.08,1.3580638240402423e-37,448,-20.73,3.4077937903842886e-20,22.81,Activin
283,Acvr1,Gdf1,21.96,0.0,116,-0.85,0.1969501989070297,22.81,BMP/Activin
284,Acvr1,Bmp8a,21.96,0.0,116,-0.41,0.9999344575108172,22.37,BMP/Activin
285,Bmpr1a,Bmp2,9.56,0.0,225,-12.8,1.2892853069774322e-31,22.36,BMP
286,Tyro3,Gas6,8.31,1.706062030966723e-142,241,-14.0,9.195792804308949e-45,22.32,Other
