rank,receptor,ligand,r_score,r_logfc,l_score,l_logfc,l_padj,n_db,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway,h_receptor,h_ligand,conservation,conservation_score,lig_deliver,lig_dgidb,rec_dgidb,druggability,lit_receptor,lit_ligand,literature,mismatch_norm,priority_score
16,Bmpr2,Bmp4,44.49,15.12,-38.65,-73.53,0.0,4,0.4,4,10,0.0138,BMP,BMPR2,BMP4,mouse_only,0.2,1.0,0.0,0.773,0.6518999999999999,0.841,0.86,0.8505,0.23670668953687823,0.4314920068610635
17,Itgb1,Tgm2,118.2,334.47,-49.94,-65.47,0.0,4,0.158,6,38,0.0186,Other,ITGB1,TGM2,mouse_only,0.2,1.0,0.727,0.627,0.81166,0.583,0.514,0.5485,0.3190394511149228,0.4277438353344769
18,Adgre5,Cd55,17.17,-10.88,-40.54,-98.41,0.0,5,1.0,1,1,0.0174,Other,ADGRE5,CD55,CONSERVED_strict,1.0,0.3,0.1,0.1,0.184,0.0,0.0,0.0,0.29845626072041165,0.4263368782161235
19,Egfr,Anxa1,36.78,9.12,-14.03,-68.39,3.6858929502308633e-44,4,0.211,4,19,0.0022,EGF,EGFR,ANXA1,mouse_only,0.2,1.0,0.938,0.8,0.9226399999999999,1.0,0.596,0.798,0.03773584905660378,0.4154487547169811
20,Bmpr2,Bmp2,44.49,15.12,-11.79,-12.8,1.2892853069774322e-31,4,0.4,4,10,0.0042,BMP,BMPR2,BMP2,mouse_only,0.2,1.0,0.543,0.773,0.80394,0.841,0.867,0.854,0.07204116638078902,0.4132003499142367
21,Neo1,Rgmb,83.4,49.09,-40.15,-66.8,0.0,4,0.75,3,4,0.0502,Other,NEO1,RGMB,mouse_only,0.2,0.5,0.1,0.0,0.23799999999999996,0.284,0.15,0.21699999999999997,0.8610634648370498,0.40931903945111486
22,Itgb1,Lama2,118.2,334.47,-43.59,-119.32,0.0,4,0.158,6,38,0.0163,Other,ITGB1,LAMA2,mouse_only,0.2,1.0,0.461,0.627,0.73718,0.583,0.589,0.586,0.27958833619210977,0.4085125008576329
23,Bmpr1a,Bmp4,41.83,9.56,-38.65,-73.53,0.0,4,0.4,4,10,0.0129,BMP,BMPR1A,BMP4,mouse_only,0.2,1.0,0.0,0.697,0.6291,0.615,0.86,0.7375,0.22126929674099485,0.3997007890222985
24,Lgr6,Rspo1,2.54,1.93,-15.81,-24.78,1.0423220477571363e-55,5,0.25,1,4,0.0003,Other,LGR6,RSPO1,CONSERVED_relaxed,0.7,1.0,0.0,0.595,0.5985,0.387,0.266,0.3265,0.005145797598627787,0.39654373927958836
25,Lrp6,Rspo1,42.56,12.87,-15.81,-24.78,1.0423220477571363e-55,4,0.2,2,10,0.0027,Wnt,LRP6,RSPO1,CONSERVED_relaxed,0.7,1.0,0.0,0.0,0.42,0.614,0.266,0.44,0.04631217838765009,0.3958936535162951
