rank,receptor,ligand,r_logfc,l_logfc,l_padj,n_db,starvation,mismatch_composite,pathway,h_receptor,h_ligand,conservation,conservation_score,druggability,literature,mismatch_norm,priority_score
19,Ogfr,Penk,16.17,-129.5,0.0,4,1.0,0.8,Other,OGFR,PENK,mouse_only,0.2,0.5,0.1,0.8,0.42000000000000004
20,Epha7,Efna2,31.96,-1.9,2.2192741468734434e-18,5,0.5,0.0949,Other,EPHA7,EFNA2,CONSERVED_relaxed,0.7,0.6,0.3,0.0949,0.41846999999999995
21,Fgfr2,Fgf1,4.81,-7.3,0.0001591980573015,5,0.333,0.1171,FGF,FGFR2,FGF1,mouse_only,0.2,1.0,0.6,0.1171,0.41513
22,Fgfrl1,Fgf2,43.27,-3.87,3.610811962636146e-46,4,1.0,0.31,FGF,FGFRL1,FGF2,mouse_only,0.2,1.0,0.3,0.31,0.413
23,Bmpr1a,Bmp6,9.56,-20.73,3.4077937903842886e-20,4,0.4,0.306,BMP,BMPR1A,BMP6,mouse_only,0.2,0.8,0.5,0.306,0.41180000000000005
24,Epha3,Efna2,5.34,-1.9,2.2192741468734434e-18,5,0.429,0.0435,Other,EPHA3,EFNA2,CONSERVED_relaxed,0.7,0.6,0.3,0.0435,0.40304999999999996
25,Itgb8,Tgfb1,12.0,-6.73,1.906931661343303e-127,4,0.5,0.2692,Other,ITGB8,TGFB1,mouse_only,0.2,0.9,0.4,0.2692,0.40076000000000006
26,Fgfr2,Fgf2,4.81,-3.87,3.610811962636146e-46,5,0.333,0.0622,FGF,FGFR2,FGF2,mouse_only,0.2,1.0,0.6,0.0622,0.39866
27,Ephb6,Afdn,6.09,-6.35,2.295930398484685e-110,4,0.4,0.1238,Other,EPHB6,AFDN,CONSERVED_strict,1.0,0.1,0.2,0.1238,0.39714000000000005
28,Itga5,Ccn1,17.47,-156.37,1.3397951598724683e-235,4,0.308,0.2462,Other,ITGA5,CCN1,CONSERVED_relaxed,0.7,0.4,0.1,0.2462,0.38386000000000003
29,Itgav,Ccn1,50.48,-156.37,1.3397951598724683e-235,4,0.294,0.2353,Other,ITGAV,CCN1,CONSERVED_relaxed,0.7,0.4,0.1,0.2353,0.38059000000000004
30,Neo1,Rgmb,49.09,-66.8,0.0,4,1.0,0.8,Other,NEO1,RGMB,mouse_only,0.2,0.2,0.2,0.8,0.38
31,Neo1,Rgma,49.09,-33.87,1.176836588239294e-32,4,1.0,0.8,Other,NEO1,RGMA,mouse_only,0.2,0.2,0.2,0.8,0.38
32,Lgr6,Rspo1,1.93,-24.78,1.0423220477571363e-55,5,0.5,0.0967,Other,LGR6,RSPO1,CONSERVED_relaxed,0.7,0.6,0.1,0.0967,0.37901
33,Ephb3,Efnb2,11.25,-1.2,6.4667057359368e-07,5,0.5,0.0598,Other,EPHB3,EFNB2,CONSERVED_relaxed,0.7,0.6,0.1,0.0598,0.36794
34,Itgb3,Ccn1,4.57,-156.37,1.3397951598724683e-235,4,0.455,0.1663,Other,ITGB3,CCN1,CONSERVED_relaxed,0.7,0.4,0.1,0.1663,0.35989000000000004
35,Ephb2,Efnb2,10.12,-1.2,6.4667057359368e-07,5,0.25,0.0299,Other,EPHB2,EFNB2,CONSERVED_relaxed,0.7,0.6,0.1,0.0299,0.35897
36,Ephb6,Efnb2,6.09,-1.2,6.4667057359368e-07,5,0.4,0.0291,Other,EPHB6,EFNB2,CONSERVED_relaxed,0.7,0.6,0.1,0.0291,0.35873
37,Epha3,Efnb2,5.34,-1.2,6.4667057359368e-07,4,0.429,0.0219,Other,EPHA3,EFNB2,CONSERVED_relaxed,0.7,0.6,0.1,0.0219,0.35657
38,Adora2b,Ntn1,5.66,-35.44,2.2899630889175643e-151,4,1.0,0.4531,Other,ADORA2B,NTN1,mouse_only,0.2,0.6,0.2,0.4531,0.35592999999999997
39,Acvr1,Inhbb,21.96,-15.34,1.109667392529749e-07,4,0.444,0.3556,BMP/Activin,ACVR1,INHBB,mouse_only,0.2,0.5,0.4,0.3556,0.34668000000000004
40,Notch3,Psen1,5.47,-10.1,3.2887149946609237e-39,4,0.125,0.0547,Notch,NOTCH3,PSEN1,CONSERVED_relaxed,0.7,0.2,0.4,0.0547,0.34641000000000005
41,Nrp2,Pgf,9.63,-111.07,0.0,5,0.2,0.1925,Sema/VEGF,NRP2,PGF,mouse_only,0.2,0.7,0.4,0.1925,0.33775
42,Epha7,Efna1,31.96,-5.8,8.936455050643614e-10,5,0.5,0.29,Other,EPHA7,EFNA1,mouse_only,0.2,0.6,0.3,0.29,0.327
43,Epha7,Afdn,31.96,-6.35,2.295930398484685e-110,4,0.5,0.254,Other,EPHA7,AFDN,CONSERVED_relaxed,0.7,0.1,0.1,0.254,0.32620000000000005
44,Ephb3,Afdn,11.25,-6.35,2.295930398484685e-110,4,0.5,0.254,Other,EPHB3,AFDN,CONSERVED_relaxed,0.7,0.1,0.1,0.254,0.32620000000000005
45,Itgb8,Vtn,12.0,-120.41,6.644433391825109e-25,4,0.5,0.4,Other,ITGB8,VTN,mouse_only,0.2,0.5,0.2,0.4,0.32000000000000006
46,Itgb1,Cd14,334.47,-10.23,9.33005481645319e-11,4,0.2,0.16,Other,ITGB1,CD14,CONSERVED_relaxed,0.7,0.2,0.1,0.16,0.31800000000000006
47,Itgb1,Lamc2,334.47,-11.44,2.9664651117450787e-16,4,0.2,0.16,Other,ITGB1,LAMC2,CONSERVED_relaxed,0.7,0.2,0.1,0.16,0.31800000000000006
48,Acvr1,Bmp7,21.96,-3.08,0.0094799096604423,4,0.444,0.1095,BMP/Activin,ACVR1,BMP7,mouse_only,0.2,1.0,0.1,0.1095,0.31285
49,Bmpr2,Bmp7,15.12,-3.08,0.0094799096604423,4,0.4,0.0985,BMP,BMPR2,BMP7,mouse_only,0.2,1.0,0.1,0.0985,0.30955
50,Bmpr1a,Bmp7,9.56,-3.08,0.0094799096604423,4,0.4,0.0942,BMP,BMPR1A,BMP7,mouse_only,0.2,1.0,0.1,0.0942,0.30826000000000003
51,Itgav,Tgfb1,50.48,-6.73,1.906931661343303e-127,4,0.294,0.1584,Other,ITGAV,TGFB1,mouse_only,0.2,0.9,0.1,0.1584,0.30752
52,Cd44,Fgf1,65.3,-7.3,0.0001591980573015,3,0.2,0.0876,Other,CD44,FGF1,mouse_only,0.2,1.0,0.1,0.0876,0.30628
53,Bmpr1b,Bmp2,2.35,-12.8,1.2892853069774322e-31,4,0.444,0.0835,BMP,BMPR1B,BMP2,mouse_only,0.2,1.0,0.1,0.0835,0.30505000000000004
54,Itgb5,Ccn1,150.65,-156.37,1.3397951598724683e-235,4,0.6,0.48,Other,ITGB5,CCN1,mouse_only,0.2,0.4,0.1,0.48,0.30400000000000005
55,Sdc1,Fgf2,53.42,-3.87,3.610811962636146e-46,4,0.25,0.0775,Other,SDC1,FGF2,mouse_only,0.2,1.0,0.1,0.0775,0.30325
56,Grin2d,Il16,1.82,-6.91,3.2786146366201797e-11,4,1.0,0.1005,Other,GRIN2D,IL16,CONSERVED_relaxed,0.7,0.2,0.1,0.1005,0.30015000000000003
57,Cd44,Fgf2,65.3,-3.87,3.610811962636146e-46,4,0.2,0.062,Other,CD44,FGF2,mouse_only,0.2,1.0,0.1,0.062,0.29860000000000003
58,Fzd1,Myoc,9.44,-153.04,0.0,3,0.167,0.0944,Wnt,FZD1,MYOC,CONSERVED_relaxed,0.7,0.2,0.1,0.0944,0.29832000000000003
59,Acvr2a,Bmp2,2.08,-12.8,1.2892853069774322e-31,3,0.286,0.0356,Activin,ACVR2A,BMP2,mouse_only,0.2,1.0,0.1,0.0356,0.29068000000000005
60,Ephb2,Afdn,10.12,-6.35,2.295930398484685e-110,4,0.25,0.127,Other,EPHB2,AFDN,CONSERVED_relaxed,0.7,0.1,0.1,0.127,0.2881
61,Bmpr1b,Bmp7,2.35,-3.08,0.0094799096604423,4,0.444,0.0257,BMP,BMPR1B,BMP7,mouse_only,0.2,1.0,0.1,0.0257,0.28771
62,Bmpr1b,Bmp4,2.35,-73.53,0.0,4,0.444,0.0835,BMP,BMPR1B,BMP4,mouse_only,0.2,0.9,0.1,0.0835,0.28505
63,Acvr2a,Bmp7,2.08,-3.08,0.0094799096604423,4,0.286,0.0146,Activin,ACVR2A,BMP7,mouse_only,0.2,1.0,0.1,0.0146,0.28438
64,Itgb5,Ltbp1,150.65,-25.43,0.0434082080561031,4,0.6,0.48,Other,ITGB5,LTBP1,mouse_only,0.2,0.3,0.1,0.48,0.28400000000000003
65,Fgfr2,Fgf16,4.81,-4.56,0.0001095520986479,3,0.333,0.0439,FGF,FGFR2,FGF16,CONSERVED_relaxed,0.7,0.2,0.1,0.0439,0.28317000000000003
66,Il2rg,Il15,0.68,-16.22,3.520104297136089e-14,4,0.6,0.0324,Other,IL2RG,IL15,CONSERVED_relaxed,0.7,0.2,0.1,0.0324,0.27972
67,Notch1,Psen1,4.4,-10.1,3.2887149946609237e-39,4,0.083,0.0293,Notch,NOTCH1,PSEN1,CONSERVED_relaxed,0.7,0.2,0.1,0.0293,0.27879
68,Il2rg,Icam1,0.68,-27.13,7.270841286462939e-21,3,0.6,0.0243,Other,IL2RG,ICAM1,CONSERVED_relaxed,0.7,0.2,0.1,0.0243,0.27729000000000004
69,Notch4,Psen1,1.47,-10.1,3.2887149946609237e-39,4,0.167,0.0196,Notch,NOTCH4,PSEN1,CONSERVED_relaxed,0.7,0.2,0.1,0.0196,0.27588
70,Grin2d,Hras,1.82,-0.89,5.4342226013183566e-192,3,1.0,0.0097,Other,GRIN2D,HRAS,CONSERVED_relaxed,0.7,0.2,0.1,0.0097,0.27291
71,Insr,Hras,0.6,-0.89,5.4342226013183566e-192,4,1.0,0.0043,Other,INSR,HRAS,CONSERVED_relaxed,0.7,0.2,0.1,0.0043,0.27129000000000003
72,Bmpr1b,Bmp6,2.35,-20.73,3.4077937903842886e-20,4,0.444,0.0835,BMP,BMPR1B,BMP6,mouse_only,0.2,0.8,0.1,0.0835,0.26505000000000006
73,Plxnb2,Sema4c,18.9,-15.07,3.8136898665436685e-05,5,0.333,0.3333,Other,PLXNB2,SEMA4C,mouse_only,0.2,0.4,0.1,0.3333,0.25999
74,Nrp2,Sema3c,9.63,-54.6,3.3543069247321523e-252,5,0.2,0.1925,Sema/VEGF,NRP2,SEMA3C,mouse_only,0.2,0.4,0.3,0.1925,0.25775000000000003
75,Acvr2a,Bmp6,2.08,-20.73,3.4077937903842886e-20,4,0.286,0.0475,Activin,ACVR2A,BMP6,mouse_only,0.2,0.8,0.1,0.0475,0.25425000000000003
76,Itga5,Vtn,17.47,-120.41,6.644433391825109e-25,4,0.308,0.2462,Other,ITGA5,VTN,mouse_only,0.2,0.5,0.1,0.2462,0.25386
77,Nectin2,Afdn,11.86,-6.35,2.295930398484685e-110,4,1.0,0.508,Other,NECTIN2,AFDN,mouse_only,0.2,0.1,0.1,0.508,0.2524
78,Itgav,Vtn,50.48,-120.41,6.644433391825109e-25,4,0.294,0.2353,Other,ITGAV,VTN,mouse_only,0.2,0.5,0.1,0.2353,0.25059
79,Plxna4,Sema6a,9.79,-7.57,0.0035852837913039,4,0.5,0.2965,Sema,PLXNA4,SEMA6A,mouse_only,0.2,0.4,0.1,0.2965,0.24895
80,Unc5c,Ntn1,1.56,-35.44,2.2899630889175643e-151,5,1.0,0.1561,Other,UNC5C,NTN1,mouse_only,0.2,0.6,0.1,0.1561,0.24683
81,Epha3,Efna1,5.34,-5.8,8.936455050643614e-10,5,0.429,0.1327,Other,EPHA3,EFNA1,mouse_only,0.2,0.6,0.1,0.1327,0.23981000000000002
82,Itgb3,Vtn,4.57,-120.41,6.644433391825109e-25,4,0.455,0.1663,Other,ITGB3,VTN,mouse_only,0.2,0.5,0.1,0.1663,0.22988999999999998
83,Tnfrsf11b,Vtn,6.09,-120.41,6.644433391825109e-25,4,0.333,0.1625,Other,TNFRSF11B,VTN,mouse_only,0.2,0.5,0.1,0.1625,0.22875
84,Plaur,Vtn,3.18,-120.41,6.644433391825109e-25,4,0.5,0.127,Other,PLAUR,VTN,mouse_only,0.2,0.5,0.1,0.127,0.21810000000000002
85,Epha1,Efna1,2.2,-5.8,8.936455050643614e-10,5,0.4,0.051,Other,EPHA1,EFNA1,mouse_only,0.2,0.6,0.1,0.051,0.2153
86,Pvr,Vtn,1.16,-120.41,6.644433391825109e-25,4,1.0,0.0931,Other,PVR,VTN,mouse_only,0.2,0.5,0.1,0.0931,0.20793
87,Epha1,Efna2,2.2,-1.9,2.2192741468734434e-18,3,0.4,0.01,Other,EPHA1,EFNA2,mouse_only,0.2,0.6,0.1,0.01,0.203
88,Fas,Tnfsf13,26.55,-3.27,1.870515367649137e-07,4,1.0,0.2619,Other,FAS,TNFSF13,mouse_only,0.2,0.2,0.1,0.2619,0.19857000000000002
89,Acvr2a,Inhbb,2.08,-15.34,1.109667392529749e-07,4,0.286,0.0475,Activin,ACVR2A,INHBB,mouse_only,0.2,0.5,0.1,0.0475,0.19425000000000003
90,Itgav,Col4a3,50.48,-24.83,2.2243661695266457e-121,4,0.294,0.2353,Other,ITGAV,COL4A3,mouse_only,0.2,0.2,0.1,0.2353,0.19058999999999998
91,Egfr,Efemp1,9.12,-136.53,0.0,4,0.211,0.1536,EGF,EGFR,EFEMP1,mouse_only,0.2,0.2,0.2,0.1536,0.18608
92,Acvr1b,Inhbb,1.05,-15.34,1.109667392529749e-07,4,0.2,0.0169,Activin,ACVR1B,INHBB,mouse_only,0.2,0.5,0.1,0.0169,0.18507
93,Sdc1,Lpl,53.42,-440.89,0.0,4,0.25,0.2,Other,SDC1,LPL,mouse_only,0.2,0.2,0.1,0.2,0.18
94,Plxna2,Sema6a,1.98,-7.57,0.0035852837913039,4,0.5,0.0601,Sema,PLXNA2,SEMA6A,mouse_only,0.2,0.4,0.1,0.0601,0.17803000000000002
95,Itgb3,Tgm2,4.57,-65.47,0.0,4,0.455,0.1663,Other,ITGB3,TGM2,mouse_only,0.2,0.2,0.1,0.1663,0.16988999999999999
96,Itgb1,Lamb1,334.47,-75.75,2.2848321839459625e-12,4,0.2,0.16,Other,ITGB1,LAMB1,mouse_only,0.2,0.2,0.1,0.16,0.16800000000000004
97,Itgb1,Lama2,334.47,-119.32,0.0,4,0.2,0.16,Other,ITGB1,LAMA2,mouse_only,0.2,0.2,0.1,0.16,0.16800000000000004
98,Itgb1,Tgm2,334.47,-65.47,0.0,4,0.2,0.16,Other,ITGB1,TGM2,mouse_only,0.2,0.2,0.1,0.16,0.16800000000000004
99,Itga5,Adam15,17.47,-6.47,3.0697509065815005e-157,4,0.308,0.1592,Other,ITGA5,ADAM15,mouse_only,0.2,0.2,0.1,0.1592,0.16776000000000002
100,Egfr,Anxa1,9.12,-68.39,3.6858929502308633e-44,4,0.211,0.1536,EGF,EGFR,ANXA1,mouse_only,0.2,0.2,0.1,0.1536,0.16608
101,Itgav,Adam15,50.48,-6.47,3.0697509065815005e-157,4,0.294,0.1522,Other,ITGAV,ADAM15,mouse_only,0.2,0.2,0.1,0.1522,0.16566000000000003
102,Jmjd6,Ptdss1,3.11,-6.26,1.1457601972507822e-75,3,1.0,0.1168,Other,JMJD6,PTDSS1,mouse_only,0.2,0.2,0.1,0.1168,0.15504
103,Egfr,Icam1,9.12,-27.13,7.270841286462939e-21,3,0.211,0.1152,EGF,EGFR,ICAM1,mouse_only,0.2,0.2,0.1,0.1152,0.15456000000000003
104,Itgb3,Adam15,4.57,-6.47,3.0697509065815005e-157,4,0.455,0.1076,Other,ITGB3,ADAM15,mouse_only,0.2,0.2,0.1,0.1076,0.15228000000000003
105,Itgb1,Adam15,334.47,-6.47,3.0697509065815005e-157,4,0.2,0.1035,Other,ITGB1,ADAM15,mouse_only,0.2,0.2,0.1,0.1035,0.15105000000000002
106,Itgb5,Itgb3bp,150.65,-2.74,1.5168218834789676e-132,3,0.6,0.0986,Other,ITGB5,ITGB3BP,mouse_only,0.2,0.2,0.1,0.0986,0.14958
107,Fzd3,Myoc,3.23,-153.04,0.0,3,0.333,0.0647,Wnt,FZD3,MYOC,mouse_only,0.2,0.2,0.1,0.0647,0.13941
108,Itga9,Adam15,12.0,-6.47,3.0697509065815005e-157,4,0.125,0.0647,Other,ITGA9,ADAM15,mouse_only,0.2,0.2,0.1,0.0647,0.13941
109,Tnfrsf11b,Tnfsf13,6.09,-3.27,1.870515367649137e-07,4,0.333,0.0532,Other,TNFRSF11B,TNFSF13,mouse_only,0.2,0.2,0.1,0.0532,0.13596000000000003
110,Lrp8,Lrpap1,1.57,-8.48,1.770878083779837e-41,4,0.5,0.0531,Other,LRP8,LRPAP1,mouse_only,0.2,0.2,0.1,0.0531,0.13593
111,Egfr,Tgfa,9.12,-2.65,0.000226413419789,5,0.211,0.051,EGF,EGFR,TGFA,mouse_only,0.2,0.2,0.1,0.051,0.1353
112,Insr,Ahsg,0.6,-14.43,2.740125086874161e-13,4,1.0,0.0477,Other,INSR,AHSG,mouse_only,0.2,0.2,0.1,0.0477,0.13431
113,Insr,Arf1,0.6,-25.04,0.0082049472283497,4,1.0,0.0477,Other,INSR,ARF1,mouse_only,0.2,0.2,0.1,0.0477,0.13431
114,Itgb3,Itgb3bp,4.57,-2.74,1.5168218834789676e-132,3,0.455,0.0342,Other,ITGB3,ITGB3BP,mouse_only,0.2,0.2,0.1,0.0342,0.13026000000000001
115,Robo2,Slit3,1.37,-8.0,4.255597967059493e-06,4,0.333,0.0291,Other,ROBO2,SLIT3,mouse_only,0.2,0.2,0.1,0.0291,0.12873
116,Insr,Sorbs1,0.6,-7.27,7.263027724949326e-16,3,1.0,0.026,Other,INSR,SORBS1,mouse_only,0.2,0.2,0.1,0.026,0.12780000000000002
117,Igf2r,Igf2,65.7,-0.2,0.0176981039462366,5,0.667,0.0137,IGF,IGF2R,IGF2,mouse_only,0.2,0.2,0.1,0.0137,0.12411000000000001
118,Neo1,Ntn3,49.09,-0.06,0.0096173053737571,4,1.0,0.0049,Other,NEO1,NTN3,mouse_only,0.2,0.2,0.1,0.0049,0.12147000000000001
119,Lrp6,Rspo3,12.87,-0.21,5.704826368325124e-07,4,0.25,0.0043,Wnt,LRP6,RSPO3,mouse_only,0.2,0.2,0.1,0.0043,0.12129000000000001
120,Igf2r,Plau,65.7,-0.07,0.0415923523155702,4,0.667,0.0037,IGF,IGF2R,PLAU,mouse_only,0.2,0.2,0.1,0.0037,0.12111000000000001
121,Erbb2,Tgfa,1.35,-2.65,0.000226413419789,4,0.125,0.0036,EGF,ERBB2,TGFA,mouse_only,0.2,0.2,0.1,0.0036,0.12108000000000001
122,Fzd8,Rspo3,17.09,-0.21,5.704826368325124e-07,4,0.2,0.0034,Wnt,FZD8,RSPO3,mouse_only,0.2,0.2,0.1,0.0034,0.12102
123,Lgr6,Rspo3,1.93,-0.21,5.704826368325124e-07,5,0.5,0.0021,Other,LGR6,RSPO3,mouse_only,0.2,0.2,0.1,0.0021,0.12063
124,Plaur,Plau,3.18,-0.07,0.0415923523155702,5,0.5,0.0011,Other,PLAUR,PLAU,mouse_only,0.2,0.2,0.1,0.0011,0.12033
125,Insr,Igf2,0.6,-0.2,0.0176981039462366,4,1.0,0.001,Other,INSR,IGF2,mouse_only,0.2,0.2,0.1,0.001,0.1203
126,Itga5,Angpt1,17.47,-0.02,2.572906970629661e-76,4,0.308,0.0006,Other,ITGA5,ANGPT1,mouse_only,0.2,0.2,0.1,0.0006,0.12018000000000001
127,Itgb1,Angpt1,334.47,-0.02,2.572906970629661e-76,3,0.2,0.0003,Other,ITGB1,ANGPT1,mouse_only,0.2,0.2,0.1,0.0003,0.12009000000000002
